,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459521.7256829,99.0,99.0,g,21.0339319889786,2.0,1.0
2,2459524.7640856,21.2285980605165,0.237062234851226,r,21.1333279138615,2.0,1.0
4,2459525.7279745,21.2743955030955,0.255062520879223,g,21.099664673016,2.0,1.0
6,2459525.7878125,20.5595964562997,0.209554696143655,r,20.5982387507267,2.0,1.0
8,2459526.742338,20.7955863944842,0.165676086321735,r,21.0893226163294,2.0,1.0
10,2459522.7303588,20.4220008850098,0.246197000145912,g,99.0,1.0,0.0
11,2459522.7308333,20.1623001098633,0.250409007072449,g,99.0,1.0,0.0
12,2459523.6898843,20.3618564605713,0.202766016125679,g,99.0,1.0,0.0
13,2459522.7303588,20.4220008850098,0.246197000145912,g,99.0,1.0,0.0
14,2459522.7308333,20.1623001098633,0.250409007072449,g,99.0,1.0,0.0
15,2459522.7303588,20.4220008850098,0.246197000145912,g,99.0,1.0,0.0
