,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459521.6384838,20.6976928354387,0.143429174460703,r,21.1479848776756,2.0,1.0
1,2459521.7017477,20.6618496069002,0.144542263705068,g,21.1037482659733,2.0,1.0
2,2459523.6373727,20.4090864934052,0.108656322326125,r,21.1608347788772,2.0,1.0
3,2459523.6993287,20.2794010038126,0.116527930290046,g,20.9552117108931,2.0,1.0
4,2459525.6581944,20.2662744572631,0.108907852616059,r,21.0155122589744,2.0,1.0
5,2459525.6965162,20.2501869124151,0.119246713675825,g,20.9009566536542,2.0,1.0
6,2459527.618044,20.4755343165232,0.130934389893639,r,21.0247857833651,2.0,1.0
7,2459527.6568519,20.2020524685676,0.103920495159212,g,21.0021852391805,2.0,1.0
8,2459523.6373727,20.4533996582031,0.226940006017685,r,99.0,2.0,0.0
9,2459523.6993287,20.3203544616699,0.199257224798203,g,99.0,2.0,0.0
10,2459525.6581944,20.2402801513672,0.209692567586899,r,99.0,2.0,0.0
11,2459526.6140625,20.1895999908447,0.218118995428085,r,99.0,1.0,0.0
12,2459526.6982523,20.3691253662109,0.191471815109253,g,99.0,1.0,0.0
13,2459525.6965162,20.3145999908447,0.232645004987717,g,99.0,2.0,0.0
14,2459527.618044,20.524299621582,0.258504003286362,r,99.0,2.0,0.0
15,2459527.6568519,20.2485446929932,0.205948725342751,g,99.0,2.0,0.0
16,2459523.6993287,20.3203544616699,0.199257224798203,g,99.0,2.0,0.0
17,2459525.6581944,20.2402801513672,0.209692567586899,r,99.0,2.0,0.0
18,2459526.6140625,20.1895999908447,0.218118995428085,r,99.0,1.0,0.0
19,2459526.6982523,20.3691253662109,0.191471815109253,g,99.0,1.0,0.0
20,2459525.6965162,20.3145999908447,0.232645004987717,g,99.0,2.0,0.0
21,2459527.618044,20.524299621582,0.258504003286362,r,99.0,2.0,0.0
22,2459527.6568519,20.2485446929932,0.205948725342751,g,99.0,2.0,0.0
23,2459525.6581944,20.2402801513672,0.209692567586899,r,99.0,2.0,0.0
24,2459526.6140625,20.1895999908447,0.218118995428085,r,99.0,1.0,0.0
25,2459526.6982523,20.3691253662109,0.191471815109253,g,99.0,1.0,0.0
26,2459525.6965162,20.3145999908447,0.232645004987717,g,99.0,2.0,0.0
27,2459527.618044,20.524299621582,0.258504003286362,r,99.0,2.0,0.0
28,2459527.6568519,20.2485446929932,0.205948725342751,g,99.0,2.0,0.0
29,2459526.6140625,20.1895999908447,0.218118995428085,r,99.0,1.0,0.0
30,2459526.6982523,20.3691253662109,0.191471815109253,g,99.0,1.0,0.0
31,2459525.6965162,20.3145999908447,0.232645004987717,g,99.0,2.0,0.0
32,2459527.618044,20.524299621582,0.258504003286362,r,99.0,2.0,0.0
33,2459527.6568519,20.2485446929932,0.205948725342751,g,99.0,2.0,0.0
34,2459526.6982523,20.3691253662109,0.191471815109253,g,99.0,1.0,0.0
35,2459525.6965162,20.3145999908447,0.232645004987717,g,99.0,2.0,0.0
36,2459527.618044,20.524299621582,0.258504003286362,r,99.0,2.0,0.0
37,2459527.6568519,20.2485446929932,0.205948725342751,g,99.0,2.0,0.0
38,2459525.6965162,20.3145999908447,0.232645004987717,g,99.0,2.0,0.0
39,2459527.618044,20.524299621582,0.258504003286362,r,99.0,2.0,0.0
40,2459527.6568519,20.2485446929932,0.205948725342751,g,99.0,2.0,0.0
41,2459527.618044,20.524299621582,0.258504003286362,r,99.0,2.0,0.0
42,2459527.6568519,20.2485446929932,0.205948725342751,g,99.0,2.0,0.0
43,2459527.6568519,20.2485446929932,0.205948725342751,g,99.0,2.0,0.0
