,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459520.850544,99.0,99.0,i,20.4857955688182,2.0,1.0
2,2459523.965787,99.0,99.0,i,20.3780827830455,2.0,1.0
3,2459526.8053588,20.0632105133749,0.174501455464768,i,20.3005986683876,2.0,1.0
4,2459523.9903356,20.272798538208,0.208038866519928,r,99.0,1.0,0.0
5,2459524.8409259,20.6951007843018,0.217196002602577,g,99.0,1.0,0.0
6,2459524.8631481,20.4549999237061,0.264476001262665,r,99.0,1.0,0.0
7,2459525.9533102,20.0130271911621,0.161714553833008,r,99.0,1.0,0.0
8,2459525.9705324,20.2266273498535,0.203334122896194,g,99.0,1.0,0.0
9,2459526.8680208,20.5666007995605,0.223704993724823,g,99.0,1.0,0.0
10,2459526.9941088,19.871898651123,0.186904042959213,r,99.0,1.0,0.0
11,2459523.9903356,20.272798538208,0.208038866519928,r,99.0,1.0,0.0
12,2459524.8409259,20.6951007843018,0.217196002602577,g,99.0,1.0,0.0
13,2459525.9533102,20.0130271911621,0.161714553833008,r,99.0,1.0,0.0
14,2459525.9705324,20.2266273498535,0.203334122896194,g,99.0,1.0,0.0
15,2459526.8680208,20.5666007995605,0.223704993724823,g,99.0,1.0,0.0
16,2459526.9941088,19.871898651123,0.186904042959213,r,99.0,1.0,0.0
17,2459523.9903356,20.272798538208,0.208038866519928,r,99.0,1.0,0.0
18,2459525.9533102,20.0130271911621,0.161714553833008,r,99.0,1.0,0.0
19,2459525.9705324,20.2266273498535,0.203334122896194,g,99.0,1.0,0.0
20,2459526.8680208,20.5666007995605,0.223704993724823,g,99.0,1.0,0.0
21,2459526.9941088,19.871898651123,0.186904042959213,r,99.0,1.0,0.0
22,2459523.9903356,20.272798538208,0.208038866519928,r,99.0,1.0,0.0
23,2459525.9705324,20.2266273498535,0.203334122896194,g,99.0,1.0,0.0
24,2459526.8680208,20.5666007995605,0.223704993724823,g,99.0,1.0,0.0
25,2459526.9941088,19.871898651123,0.186904042959213,r,99.0,1.0,0.0
26,2459523.9903356,20.272798538208,0.208038866519928,r,99.0,1.0,0.0
27,2459526.8680208,20.5666007995605,0.223704993724823,g,99.0,1.0,0.0
28,2459526.9941088,19.871898651123,0.186904042959213,r,99.0,1.0,0.0
29,2459523.9903356,20.272798538208,0.208038866519928,r,99.0,1.0,0.0
30,2459526.9941088,19.871898651123,0.186904042959213,r,99.0,1.0,0.0
31,2459523.9903356,20.272798538208,0.208038866519928,r,99.0,1.0,0.0
