,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459523.9571065,20.3189331596901,0.0963233870016698,g,21.2014895857819,2.0,1.0
1,2459523.9754745,20.5923868796369,0.236247135420833,i,20.5008562906265,2.0,1.0
2,2459524.0184259,20.486294649031,0.115525216015345,r,21.1714884649749,2.0,1.0
3,2459524.0409954,20.2648721333049,0.100201643888665,g,21.1045708060452,2.0,1.0
4,2459524.9711343,20.391011706998,0.118004211703322,r,21.0531537259836,2.0,1.0
5,2459525.0101157,20.50455446723,0.0952887170384642,g,21.3988365571398,2.0,1.0
6,2459525.0457986,20.4247734496026,0.115441119909674,g,21.1107579105579,2.0,1.0
7,2459531.0294097,99.0,99.0,i,19.9260993057469,2.0,1.0
8,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
9,2459522.988287,20.6567001342773,0.300891995429993,r,99.0,1.0,0.0
10,2459523.0176273,20.5275611877441,0.200560554862022,g,99.0,1.0,0.0
11,2459523.9571065,20.3002319335938,0.201420187950134,g,99.0,2.0,0.0
12,2459524.0184259,20.4195995330811,0.240952000021935,r,99.0,2.0,0.0
13,2459524.0409954,20.1973991394043,0.267690002918243,g,99.0,2.0,0.0
14,2459524.9711343,20.3395175933838,0.20162171125412,r,99.0,2.0,0.0
15,2459524.9720833,20.6494007110596,0.274320989847183,r,99.0,1.0,0.0
16,2459525.0101157,20.5308208465576,0.211226269602776,g,99.0,2.0,0.0
17,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
18,2459523.0176273,20.5275611877441,0.200560554862022,g,99.0,1.0,0.0
19,2459523.9571065,20.3002319335938,0.201420187950134,g,99.0,2.0,0.0
20,2459524.0184259,20.4195995330811,0.240952000021935,r,99.0,2.0,0.0
21,2459524.0409954,20.1973991394043,0.267690002918243,g,99.0,2.0,0.0
22,2459524.9711343,20.3395175933838,0.20162171125412,r,99.0,2.0,0.0
23,2459524.9720833,20.6494007110596,0.274320989847183,r,99.0,1.0,0.0
24,2459525.0101157,20.5308208465576,0.211226269602776,g,99.0,2.0,0.0
25,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
26,2459523.9571065,20.3002319335938,0.201420187950134,g,99.0,2.0,0.0
27,2459524.0184259,20.4195995330811,0.240952000021935,r,99.0,2.0,0.0
28,2459524.0409954,20.1973991394043,0.267690002918243,g,99.0,2.0,0.0
29,2459524.9711343,20.3395175933838,0.20162171125412,r,99.0,2.0,0.0
30,2459524.9720833,20.6494007110596,0.274320989847183,r,99.0,1.0,0.0
31,2459525.0101157,20.5308208465576,0.211226269602776,g,99.0,2.0,0.0
32,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
33,2459523.9571065,20.3002319335938,0.201420187950134,g,99.0,2.0,0.0
34,2459524.0409954,20.1973991394043,0.267690002918243,g,99.0,2.0,0.0
35,2459524.9711343,20.3395175933838,0.20162171125412,r,99.0,2.0,0.0
36,2459524.9720833,20.6494007110596,0.274320989847183,r,99.0,1.0,0.0
37,2459525.0101157,20.5308208465576,0.211226269602776,g,99.0,2.0,0.0
38,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
39,2459524.0409954,20.1973991394043,0.267690002918243,g,99.0,2.0,0.0
40,2459524.9711343,20.3395175933838,0.20162171125412,r,99.0,2.0,0.0
41,2459524.9720833,20.6494007110596,0.274320989847183,r,99.0,1.0,0.0
42,2459525.0101157,20.5308208465576,0.211226269602776,g,99.0,2.0,0.0
43,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
44,2459524.9711343,20.3395175933838,0.20162171125412,r,99.0,2.0,0.0
45,2459524.9720833,20.6494007110596,0.274320989847183,r,99.0,1.0,0.0
46,2459525.0101157,20.5308208465576,0.211226269602776,g,99.0,2.0,0.0
47,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
48,2459524.9720833,20.6494007110596,0.274320989847183,r,99.0,1.0,0.0
49,2459525.0101157,20.5308208465576,0.211226269602776,g,99.0,2.0,0.0
50,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
51,2459525.0101157,20.5308208465576,0.211226269602776,g,99.0,2.0,0.0
52,2459520.9681713,20.4501991271973,0.245808005332947,r,99.0,1.0,0.0
