,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459521.6736806,99.0,99.0,i,20.2859109746957,2.0,1.0
1,2459522.6281713,19.9646980919848,0.0902573272782808,g,20.9178777087219,2.0,1.0
2,2459522.6681713,19.8749804461646,0.111911632281773,r,20.5946781598371,2.0,1.0
3,2459524.6273148,19.7377263831065,0.0573083114766451,g,21.1840681405483,2.0,1.0
4,2459524.6712616,19.6462528717339,0.0676992255326078,r,20.9116794096751,2.0,1.0
5,2459524.6906134,20.0295062618717,0.160957765397395,i,20.3546122158697,2.0,1.0
6,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
7,2459522.6281713,19.9398784637451,0.177240416407585,g,99.0,2.0,0.0
8,2459523.6301273,19.8727722167969,0.190653622150421,r,99.0,1.0,0.0
9,2459523.6484028,19.8805446624756,0.170508220791817,g,99.0,1.0,0.0
10,2459522.6681713,19.8493995666504,0.180947005748749,r,99.0,2.0,0.0
11,2459524.6273148,19.7338161468506,0.154366225004196,g,99.0,2.0,0.0
12,2459524.6712616,19.5748291015625,0.206588000059128,r,99.0,2.0,0.0
13,2459525.6271644,19.9209022521973,0.17784258723259,r,99.0,1.0,0.0
14,2459525.7059144,19.5684986114502,0.201628968119621,g,99.0,1.0,0.0
15,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
16,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
17,2459523.6301273,19.8727722167969,0.190653622150421,r,99.0,1.0,0.0
18,2459523.6484028,19.8805446624756,0.170508220791817,g,99.0,1.0,0.0
19,2459522.6681713,19.8493995666504,0.180947005748749,r,99.0,2.0,0.0
20,2459524.6273148,19.7338161468506,0.154366225004196,g,99.0,2.0,0.0
21,2459524.6712616,19.5748291015625,0.206588000059128,r,99.0,2.0,0.0
22,2459525.6271644,19.9209022521973,0.17784258723259,r,99.0,1.0,0.0
23,2459525.7059144,19.5684986114502,0.201628968119621,g,99.0,1.0,0.0
24,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
25,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
26,2459523.6484028,19.8805446624756,0.170508220791817,g,99.0,1.0,0.0
27,2459522.6681713,19.8493995666504,0.180947005748749,r,99.0,2.0,0.0
28,2459524.6273148,19.7338161468506,0.154366225004196,g,99.0,2.0,0.0
29,2459524.6712616,19.5748291015625,0.206588000059128,r,99.0,2.0,0.0
30,2459525.6271644,19.9209022521973,0.17784258723259,r,99.0,1.0,0.0
31,2459525.7059144,19.5684986114502,0.201628968119621,g,99.0,1.0,0.0
32,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
33,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
34,2459522.6681713,19.8493995666504,0.180947005748749,r,99.0,2.0,0.0
35,2459524.6273148,19.7338161468506,0.154366225004196,g,99.0,2.0,0.0
36,2459524.6712616,19.5748291015625,0.206588000059128,r,99.0,2.0,0.0
37,2459525.6271644,19.9209022521973,0.17784258723259,r,99.0,1.0,0.0
38,2459525.7059144,19.5684986114502,0.201628968119621,g,99.0,1.0,0.0
39,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
40,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
41,2459524.6273148,19.7338161468506,0.154366225004196,g,99.0,2.0,0.0
42,2459524.6712616,19.5748291015625,0.206588000059128,r,99.0,2.0,0.0
43,2459525.6271644,19.9209022521973,0.17784258723259,r,99.0,1.0,0.0
44,2459525.7059144,19.5684986114502,0.201628968119621,g,99.0,1.0,0.0
45,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
46,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
47,2459524.6712616,19.5748291015625,0.206588000059128,r,99.0,2.0,0.0
48,2459525.6271644,19.9209022521973,0.17784258723259,r,99.0,1.0,0.0
49,2459525.7059144,19.5684986114502,0.201628968119621,g,99.0,1.0,0.0
50,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
51,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
52,2459525.6271644,19.9209022521973,0.17784258723259,r,99.0,1.0,0.0
53,2459525.7059144,19.5684986114502,0.201628968119621,g,99.0,1.0,0.0
54,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
55,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
56,2459525.7059144,19.5684986114502,0.201628968119621,g,99.0,1.0,0.0
57,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
58,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
59,2459527.6478704,19.5201644897461,0.132174670696259,g,99.0,1.0,0.0
60,2459521.6670023,20.0659008026123,0.231306999921799,r,99.0,1.0,0.0
