,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459524.9851389,99.0,99.0,i,20.4696560087994,2.0,1.0
1,2459528.0105787,99.0,99.0,i,20.3002672581171,2.0,1.0
4,2459531.0176273,20.0975921785553,0.21008801711768,i,20.1334747624776,2.0,1.0
5,2459531.8330556,20.1340402019502,0.212963812140007,g,20.1551614604156,2.0,1.0
9,2459529.9164236,19.949047088623,0.176528558135033,r,99.0,1.0,0.0
10,2459530.0088542,20.6068992614746,0.23573000729084,g,99.0,1.0,0.0
13,2459531.9231481,19.824499130249,0.161879003047943,r,99.0,1.0,0.0
15,2459531.9711111,20.2160091400146,0.202459156513214,g,99.0,1.0,0.0
16,2459529.9164236,19.949047088623,0.176528558135033,r,99.0,1.0,0.0
19,2459531.9231481,19.824499130249,0.161879003047943,r,99.0,1.0,0.0
21,2459531.9711111,20.2160091400146,0.202459156513214,g,99.0,1.0,0.0
22,2459529.9164236,19.949047088623,0.176528558135033,r,99.0,1.0,0.0
24,2459531.9231481,19.824499130249,0.161879003047943,r,99.0,1.0,0.0
26,2459531.9711111,20.2160091400146,0.202459156513214,g,99.0,1.0,0.0
27,2459529.9164236,19.949047088623,0.176528558135033,r,99.0,1.0,0.0
30,2459531.9711111,20.2160091400146,0.202459156513214,g,99.0,1.0,0.0
31,2459529.9164236,19.949047088623,0.176528558135033,r,99.0,1.0,0.0
33,2459531.9711111,20.2160091400146,0.202459156513214,g,99.0,1.0,0.0
34,2459529.9164236,19.949047088623,0.176528558135033,r,99.0,1.0,0.0
35,2459531.9711111,20.2160091400146,0.202459156513214,g,99.0,1.0,0.0
36,2459529.9164236,19.949047088623,0.176528558135033,r,99.0,1.0,0.0
