,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459524.9861227,99.0,99.0,i,20.766065679328,2.0,1.0
1,2459528.0134144,20.9219158584894,0.246873188965865,i,20.7826168299647,2.0,1.0
4,2459531.0063889,99.0,99.0,i,20.1775188340578,2.0,1.0
7,2459526.9499306,20.8677005767822,0.221228003501892,g,99.0,1.0,0.0
9,2459531.8810995,20.5166568756104,0.203153625130653,g,99.0,1.0,0.0
11,2459531.921713,20.3945617675781,0.188821256160736,r,99.0,1.0,0.0
12,2459526.9499306,20.8677005767822,0.221228003501892,g,99.0,1.0,0.0
13,2459531.8810995,20.5166568756104,0.203153625130653,g,99.0,1.0,0.0
15,2459531.921713,20.3945617675781,0.188821256160736,r,99.0,1.0,0.0
16,2459526.9499306,20.8677005767822,0.221228003501892,g,99.0,1.0,0.0
18,2459531.921713,20.3945617675781,0.188821256160736,r,99.0,1.0,0.0
19,2459526.9499306,20.8677005767822,0.221228003501892,g,99.0,1.0,0.0
20,2459531.921713,20.3945617675781,0.188821256160736,r,99.0,1.0,0.0
21,2459526.9499306,20.8677005767822,0.221228003501892,g,99.0,1.0,0.0
