,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459525.7441898,20.1959393997469,0.0998121541162922,g,21.0398666175777,2.0,1.0
2,2459527.7473264,99.0,99.0,g,20.1924269129842,2.0,1.0
4,2459522.7313079,20.2031993865967,0.324793010950089,g,99.0,1.0,0.0
5,2459523.6450579,20.1482524871826,0.216460034251213,r,99.0,1.0,0.0
6,2459524.6470255,19.8978672027588,0.197614014148712,g,99.0,1.0,0.0
7,2459525.7441898,20.1043491363525,0.183360934257507,g,99.0,2.0,0.0
9,2459522.7313079,20.2031993865967,0.324793010950089,g,99.0,1.0,0.0
10,2459524.6470255,19.8978672027588,0.197614014148712,g,99.0,1.0,0.0
11,2459525.7441898,20.1043491363525,0.183360934257507,g,99.0,2.0,0.0
13,2459522.7313079,20.2031993865967,0.324793010950089,g,99.0,1.0,0.0
14,2459525.7441898,20.1043491363525,0.183360934257507,g,99.0,2.0,0.0
16,2459522.7313079,20.2031993865967,0.324793010950089,g,99.0,1.0,0.0
18,2459522.7313079,20.2031993865967,0.324793010950089,g,99.0,1.0,0.0
