,jd,mag,mag_unc,filter,limmag,programid,forced
139,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
140,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
259,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
260,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
261,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
262,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
380,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
381,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
382,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
383,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
500,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
501,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
502,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
503,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
619,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
620,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
621,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
622,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
737,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
738,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
739,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
740,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
854,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
855,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
856,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
857,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
970,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
971,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
972,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
973,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1085,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1086,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1087,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1088,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1199,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1200,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1201,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1202,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1312,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1313,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1314,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1315,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1424,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1425,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1426,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1427,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1535,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1536,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1537,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1538,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1645,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1646,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1647,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1648,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1754,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1755,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1756,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1757,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1862,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1863,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1864,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1865,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
1969,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
1970,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
1971,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
1972,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2075,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2076,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2077,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2078,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2180,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2181,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2182,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2183,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2284,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2285,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2286,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2287,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2387,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2388,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2389,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2390,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2489,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2490,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2491,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2492,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2590,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2591,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2592,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2593,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2690,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2691,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2692,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2693,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2789,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2790,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2791,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2792,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2887,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2888,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2889,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2890,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
2984,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
2985,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
2986,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
2987,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
3080,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
3081,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
3082,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
3083,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
3175,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
3176,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
3177,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
3178,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
3269,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
3270,2459526.9447338,20.0077953338623,0.166651457548141,g,99.0,1.0,0.0
3271,2459524.8374537,18.3042888641357,0.0556566789746284,g,99.0,1.0,0.0
3272,2459524.874294,18.2892646789551,0.0762854367494583,r,99.0,1.0,0.0
3362,2459526.8429282,19.8357563018799,0.136804759502411,r,99.0,1.0,0.0
