,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459530.0422454,19.4647960662842,0.20952196419239,r,99.0,1,0.0
1,2459531.0356944,19.0277519226074,0.151717320084572,r,99.0,1,0.0
2,2459532.0359375,19.4829063415527,0.135583952069283,r,99.0,1,0.0
3,2459532.0408681,19.5750770568848,0.135235205292702,r,99.0,1,0.0
4,2459531.0356944,19.0277519226074,0.151717320084572,r,99.0,1,0.0
5,2459532.0359375,19.4829063415527,0.135583952069283,r,99.0,1,0.0
6,2459532.0408681,19.5750770568848,0.135235205292702,r,99.0,1,0.0
7,2459532.0359375,19.4829063415527,0.135583952069283,r,99.0,1,0.0
8,2459532.0408681,19.5750770568848,0.135235205292702,r,99.0,1,0.0
9,2459532.0408681,19.5750770568848,0.135235205292702,r,99.0,1,0.0
