,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459531.0085764,20.1073229365304,0.205185271995273,i,20.1688432648432,2.0,1.0
3,2459531.9153356,17.2731494635758,0.00992452118360226,r,20.6232613450203,2.0,1.0
4,2459531.9322338,17.1723386287299,0.00877951912098535,r,20.6555475952604,2.0,1.0
5,2459532.8320139,20.3887089507219,0.240649480000321,i,20.2771324208554,2.0,1.0
7,2459532.933125,18.305254571812,0.023961551321599,r,20.6983530314725,2.0,1.0
8,2459532.9700694,20.4680058161103,0.167409284883731,r,20.7504427520929,2.0,1.0
10,2459537.0135648,19.6613913295891,0.145480345076817,r,20.0962663123735,2.0,1.0
12,2459537.8836574,19.9552976498188,0.0754519702409704,r,21.1030069769542,2.0,1.0
13,2459538.0273611,99.0,99.0,r,18.5917718042629,2.0,1.0
15,2459538.9447454,19.9430929638683,0.158935870775337,r,20.281923938801,2.0,1.0
16,2459531.9020139,20.7311992645264,0.358799993991852,r,99.0,1.0,0.0
18,2459531.9153356,20.5112838745117,0.210633412003517,r,99.0,2.0,0.0
19,2459531.9462384,20.6778221130371,0.216748356819153,r,99.0,1.0,0.0
20,2459532.933125,20.1953277587891,0.192525759339333,r,99.0,2.0,0.0
21,2459532.9700694,20.5552005767822,0.245782002806664,r,99.0,2.0,0.0
22,2459536.9886227,20.4095993041992,0.326371997594833,r,99.0,1.0,0.0
23,2459537.0135648,19.7575817108154,0.176476016640663,r,99.0,2.0,0.0
26,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
28,2459531.9153356,20.5112838745117,0.210633412003517,r,99.0,2.0,0.0
29,2459531.9462384,20.6778221130371,0.216748356819153,r,99.0,1.0,0.0
30,2459532.933125,20.1953277587891,0.192525759339333,r,99.0,2.0,0.0
31,2459532.9700694,20.5552005767822,0.245782002806664,r,99.0,2.0,0.0
32,2459536.9886227,20.4095993041992,0.326371997594833,r,99.0,1.0,0.0
33,2459537.0135648,19.7575817108154,0.176476016640663,r,99.0,2.0,0.0
36,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
37,2459531.9153356,20.5112838745117,0.210633412003517,r,99.0,2.0,0.0
38,2459531.9462384,20.6778221130371,0.216748356819153,r,99.0,1.0,0.0
39,2459532.933125,20.1953277587891,0.192525759339333,r,99.0,2.0,0.0
40,2459532.9700694,20.5552005767822,0.245782002806664,r,99.0,2.0,0.0
41,2459536.9886227,20.4095993041992,0.326371997594833,r,99.0,1.0,0.0
42,2459537.0135648,19.7575817108154,0.176476016640663,r,99.0,2.0,0.0
45,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
46,2459531.9153356,20.5112838745117,0.210633412003517,r,99.0,2.0,0.0
47,2459532.933125,20.1953277587891,0.192525759339333,r,99.0,2.0,0.0
48,2459532.9700694,20.5552005767822,0.245782002806664,r,99.0,2.0,0.0
49,2459536.9886227,20.4095993041992,0.326371997594833,r,99.0,1.0,0.0
50,2459537.0135648,19.7575817108154,0.176476016640663,r,99.0,2.0,0.0
53,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
54,2459532.933125,20.1953277587891,0.192525759339333,r,99.0,2.0,0.0
55,2459532.9700694,20.5552005767822,0.245782002806664,r,99.0,2.0,0.0
56,2459536.9886227,20.4095993041992,0.326371997594833,r,99.0,1.0,0.0
57,2459537.0135648,19.7575817108154,0.176476016640663,r,99.0,2.0,0.0
60,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
61,2459532.9700694,20.5552005767822,0.245782002806664,r,99.0,2.0,0.0
62,2459536.9886227,20.4095993041992,0.326371997594833,r,99.0,1.0,0.0
63,2459537.0135648,19.7575817108154,0.176476016640663,r,99.0,2.0,0.0
66,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
67,2459536.9886227,20.4095993041992,0.326371997594833,r,99.0,1.0,0.0
68,2459537.0135648,19.7575817108154,0.176476016640663,r,99.0,2.0,0.0
71,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
72,2459537.0135648,19.7575817108154,0.176476016640663,r,99.0,2.0,0.0
75,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
78,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
80,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
81,2459537.8836574,20.0388011932373,0.165591731667519,r,99.0,2.0,0.0
