,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459532.6129167,19.0251744170584,0.0464927215818677,r,20.6985977822176,2.0,1.0
1,2459532.6138657,19.0805651810922,0.04278883256023,r,20.8441248765238,2.0,1.0
2,2459532.6846875,18.912303761269,0.0566706992984694,g,20.3707931210333,2.0,1.0
3,2459532.685625,19.0605058220158,0.0476870367015904,g,20.7063907711649,2.0,1.0
4,2459538.664375,99.0,99.0,r,20.3857583567575,2.0,1.0
5,2459538.664838,99.0,99.0,r,20.6212365091345,2.0,1.0
6,2459531.642581,18.2974948883057,0.0616733618080616,r,99.0,1.0,0.0
7,2459531.6440856,18.3168411254883,0.0718417465686798,r,99.0,1.0,0.0
8,2459531.6818287,18.1708564758301,0.0747789666056633,g,99.0,1.0,0.0
9,2459531.6827662,18.1977062225342,0.0935625061392784,g,99.0,1.0,0.0
10,2459532.6129167,19.0503330230713,0.0983687564730644,r,99.0,2.0,0.0
11,2459532.6138657,19.0940551757812,0.0808400809764862,r,99.0,2.0,0.0
12,2459532.6846875,18.9406890869141,0.121044583618641,g,99.0,2.0,0.0
13,2459532.685625,19.0097637176514,0.105980679392815,g,99.0,2.0,0.0
14,2459531.642581,18.2974948883057,0.0616733618080616,r,99.0,1.0,0.0
15,2459531.6440856,18.3168411254883,0.0718417465686798,r,99.0,1.0,0.0
16,2459531.6818287,18.1708564758301,0.0747789666056633,g,99.0,1.0,0.0
17,2459531.6827662,18.1977062225342,0.0935625061392784,g,99.0,1.0,0.0
18,2459532.6138657,19.0940551757812,0.0808400809764862,r,99.0,2.0,0.0
19,2459532.6846875,18.9406890869141,0.121044583618641,g,99.0,2.0,0.0
20,2459532.685625,19.0097637176514,0.105980679392815,g,99.0,2.0,0.0
21,2459531.6440856,18.3168411254883,0.0718417465686798,r,99.0,1.0,0.0
22,2459531.6818287,18.1708564758301,0.0747789666056633,g,99.0,1.0,0.0
23,2459531.6827662,18.1977062225342,0.0935625061392784,g,99.0,1.0,0.0
24,2459532.6138657,19.0940551757812,0.0808400809764862,r,99.0,2.0,0.0
25,2459532.6846875,18.9406890869141,0.121044583618641,g,99.0,2.0,0.0
26,2459532.685625,19.0097637176514,0.105980679392815,g,99.0,2.0,0.0
27,2459531.6818287,18.1708564758301,0.0747789666056633,g,99.0,1.0,0.0
28,2459531.6827662,18.1977062225342,0.0935625061392784,g,99.0,1.0,0.0
29,2459532.6138657,19.0940551757812,0.0808400809764862,r,99.0,2.0,0.0
30,2459532.6846875,18.9406890869141,0.121044583618641,g,99.0,2.0,0.0
31,2459532.685625,19.0097637176514,0.105980679392815,g,99.0,2.0,0.0
32,2459531.6827662,18.1977062225342,0.0935625061392784,g,99.0,1.0,0.0
33,2459532.6138657,19.0940551757812,0.0808400809764862,r,99.0,2.0,0.0
34,2459532.6846875,18.9406890869141,0.121044583618641,g,99.0,2.0,0.0
35,2459532.685625,19.0097637176514,0.105980679392815,g,99.0,2.0,0.0
36,2459531.6827662,18.1977062225342,0.0935625061392784,g,99.0,1.0,0.0
37,2459532.6846875,18.9406890869141,0.121044583618641,g,99.0,2.0,0.0
38,2459532.685625,19.0097637176514,0.105980679392815,g,99.0,2.0,0.0
39,2459531.6827662,18.1977062225342,0.0935625061392784,g,99.0,1.0,0.0
40,2459532.685625,19.0097637176514,0.105980679392815,g,99.0,2.0,0.0
41,2459531.6827662,18.1977062225342,0.0935625061392784,g,99.0,1.0,0.0
