,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459551.0218287,20.5181351730005,0.127675400272565,r,21.094752891898,2.0,1.0
3,2459551.0222917,21.0090131397544,0.197945612519707,r,21.1095342287881,2.0,1.0
4,2459551.0227662,20.9814853306299,0.186527335496533,r,21.1465149035502,2.0,1.0
5,2459551.0232407,20.5353141456253,0.122798172844516,r,21.1542201726193,2.0,1.0
6,2459551.0237153,20.6247883059912,0.136127155504892,r,21.1318121709514,2.0,1.0
7,2459550.8062153,20.8073997497559,0.260426014661789,g,99.0,1.0,0.0
8,2459550.8504861,20.5771999359131,0.240704998373985,r,99.0,1.0,0.0
9,2459551.0218287,20.5550003051758,0.272345006465912,r,99.0,2.0,0.0
10,2459550.8062153,20.8073997497559,0.260426014661789,g,99.0,1.0,0.0
11,2459551.0218287,20.5550003051758,0.272345006465912,r,99.0,2.0,0.0
12,2459551.0218287,20.5550003051758,0.272345006465912,r,99.0,2.0,0.0
