,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459550.7890162,20.2933227072022,0.108267268123074,g,21.0489655500703,2.0,1.0
1,2459550.7899653,20.1556864542503,0.103524763982723,g,20.9599616206802,2.0,1.0
2,2459550.8471065,20.4686951511225,0.111972229353764,r,21.1878051275987,2.0,1.0
3,2459550.8707176,20.490717872037,0.121044174069349,r,21.1252439325787,2.0,1.0
4,2459550.9053356,20.2785001970784,0.0830132526307124,r,21.3225174092976,2.0,1.0
5,2459550.9139699,20.3327698978282,0.105192574845285,r,21.1196929727728,2.0,1.0
6,2459550.932338,20.46855812939,0.0888448328353702,g,21.4388634820882,2.0,1.0
7,2459550.9328125,20.3052090975459,0.0793843874793891,g,21.39775714122,2.0,1.0
8,2459550.7890162,20.3167991638184,0.21951100230217,g,99.0,2.0,0.0
9,2459550.7909028,20.1331996917725,0.24567799270153,g,99.0,1.0,0.0
10,2459550.8702546,20.4274578094482,0.209322080016136,r,99.0,1.0,0.0
11,2459550.9053356,20.2784080505371,0.167331948876381,r,99.0,2.0,0.0
12,2459550.9139699,20.4390773773193,0.215589955449104,r,99.0,2.0,0.0
13,2459550.914919,20.3222904205322,0.192884787917137,r,99.0,1.0,0.0
14,2459550.9245949,20.1799507141113,0.145880118012428,g,99.0,1.0,0.0
15,2459550.9328125,20.3127746582031,0.191832214593887,g,99.0,2.0,0.0
16,2459550.7890162,20.3167991638184,0.21951100230217,g,99.0,2.0,0.0
17,2459550.8702546,20.4274578094482,0.209322080016136,r,99.0,1.0,0.0
18,2459550.9053356,20.2784080505371,0.167331948876381,r,99.0,2.0,0.0
19,2459550.9139699,20.4390773773193,0.215589955449104,r,99.0,2.0,0.0
20,2459550.914919,20.3222904205322,0.192884787917137,r,99.0,1.0,0.0
21,2459550.9245949,20.1799507141113,0.145880118012428,g,99.0,1.0,0.0
22,2459550.9328125,20.3127746582031,0.191832214593887,g,99.0,2.0,0.0
23,2459550.7890162,20.3167991638184,0.21951100230217,g,99.0,2.0,0.0
24,2459550.8702546,20.4274578094482,0.209322080016136,r,99.0,1.0,0.0
25,2459550.9053356,20.2784080505371,0.167331948876381,r,99.0,2.0,0.0
26,2459550.914919,20.3222904205322,0.192884787917137,r,99.0,1.0,0.0
27,2459550.9245949,20.1799507141113,0.145880118012428,g,99.0,1.0,0.0
28,2459550.9328125,20.3127746582031,0.191832214593887,g,99.0,2.0,0.0
29,2459550.8702546,20.4274578094482,0.209322080016136,r,99.0,1.0,0.0
30,2459550.9053356,20.2784080505371,0.167331948876381,r,99.0,2.0,0.0
31,2459550.914919,20.3222904205322,0.192884787917137,r,99.0,1.0,0.0
32,2459550.9245949,20.1799507141113,0.145880118012428,g,99.0,1.0,0.0
33,2459550.9328125,20.3127746582031,0.191832214593887,g,99.0,2.0,0.0
34,2459550.8702546,20.4274578094482,0.209322080016136,r,99.0,1.0,0.0
35,2459550.9053356,20.2784080505371,0.167331948876381,r,99.0,2.0,0.0
36,2459550.9245949,20.1799507141113,0.145880118012428,g,99.0,1.0,0.0
37,2459550.9328125,20.3127746582031,0.191832214593887,g,99.0,2.0,0.0
38,2459550.8702546,20.4274578094482,0.209322080016136,r,99.0,1.0,0.0
39,2459550.9053356,20.2784080505371,0.167331948876381,r,99.0,2.0,0.0
40,2459550.9328125,20.3127746582031,0.191832214593887,g,99.0,2.0,0.0
41,2459550.8702546,20.4274578094482,0.209322080016136,r,99.0,1.0,0.0
42,2459550.9053356,20.2784080505371,0.167331948876381,r,99.0,2.0,0.0
43,2459550.8702546,20.4274578094482,0.209322080016136,r,99.0,1.0,0.0
