,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
1,2459622.7273148,18.6480655670166,0.176346585154533,g,99.0,2,0.0
2,2459622.8488657,18.9254016876221,0.10792550444603,g,99.0,2,0.0
3,2459622.9837963,18.893009185791,0.116912595927715,r,99.0,2,0.0
4,2459623.736412,18.7558746337891,0.136362135410309,g,99.0,2,0.0
5,2459623.7637269,18.8673248291016,0.108201041817665,r,99.0,2,0.0
6,2459623.8308218,18.7848415374756,0.0812040492892265,g,99.0,1,0.0
7,2459623.8729977,18.8103065490723,0.0936447232961655,r,99.0,1,0.0
8,2459624.7701736,18.7742557525635,0.114551223814487,g,99.0,2,0.0
9,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
10,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
11,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
12,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
13,2459625.7900231,18.894905090332,0.127030670642853,r,99.0,1,0.0
14,2459625.8809722,18.7828502655029,0.102327361702919,g,99.0,2,0.0
15,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
16,2459622.7273148,18.6480655670166,0.176346585154533,g,99.0,2,0.0
17,2459622.9837963,18.893009185791,0.116912595927715,r,99.0,2,0.0
18,2459623.736412,18.7558746337891,0.136362135410309,g,99.0,2,0.0
19,2459623.7637269,18.8673248291016,0.108201041817665,r,99.0,2,0.0
20,2459623.8308218,18.7848415374756,0.0812040492892265,g,99.0,1,0.0
21,2459623.8729977,18.8103065490723,0.0936447232961655,r,99.0,1,0.0
22,2459624.7701736,18.7742557525635,0.114551223814487,g,99.0,2,0.0
23,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
24,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
25,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
26,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
27,2459625.7900231,18.894905090332,0.127030670642853,r,99.0,1,0.0
28,2459625.8809722,18.7828502655029,0.102327361702919,g,99.0,2,0.0
29,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
30,2459622.7273148,18.6480655670166,0.176346585154533,g,99.0,2,0.0
31,2459623.736412,18.7558746337891,0.136362135410309,g,99.0,2,0.0
32,2459623.7637269,18.8673248291016,0.108201041817665,r,99.0,2,0.0
33,2459623.8308218,18.7848415374756,0.0812040492892265,g,99.0,1,0.0
34,2459623.8729977,18.8103065490723,0.0936447232961655,r,99.0,1,0.0
35,2459624.7701736,18.7742557525635,0.114551223814487,g,99.0,2,0.0
36,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
37,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
38,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
39,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
40,2459625.7900231,18.894905090332,0.127030670642853,r,99.0,1,0.0
41,2459625.8809722,18.7828502655029,0.102327361702919,g,99.0,2,0.0
42,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
43,2459623.736412,18.7558746337891,0.136362135410309,g,99.0,2,0.0
44,2459623.7637269,18.8673248291016,0.108201041817665,r,99.0,2,0.0
45,2459623.8308218,18.7848415374756,0.0812040492892265,g,99.0,1,0.0
46,2459623.8729977,18.8103065490723,0.0936447232961655,r,99.0,1,0.0
47,2459624.7701736,18.7742557525635,0.114551223814487,g,99.0,2,0.0
48,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
49,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
50,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
51,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
52,2459625.7900231,18.894905090332,0.127030670642853,r,99.0,1,0.0
53,2459625.8809722,18.7828502655029,0.102327361702919,g,99.0,2,0.0
54,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
55,2459623.7637269,18.8673248291016,0.108201041817665,r,99.0,2,0.0
56,2459623.8308218,18.7848415374756,0.0812040492892265,g,99.0,1,0.0
57,2459623.8729977,18.8103065490723,0.0936447232961655,r,99.0,1,0.0
58,2459624.7701736,18.7742557525635,0.114551223814487,g,99.0,2,0.0
59,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
60,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
61,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
62,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
63,2459625.7900231,18.894905090332,0.127030670642853,r,99.0,1,0.0
64,2459625.8809722,18.7828502655029,0.102327361702919,g,99.0,2,0.0
65,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
66,2459623.8308218,18.7848415374756,0.0812040492892265,g,99.0,1,0.0
67,2459623.8729977,18.8103065490723,0.0936447232961655,r,99.0,1,0.0
68,2459624.7701736,18.7742557525635,0.114551223814487,g,99.0,2,0.0
69,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
70,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
71,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
72,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
73,2459625.7900231,18.894905090332,0.127030670642853,r,99.0,1,0.0
74,2459625.8809722,18.7828502655029,0.102327361702919,g,99.0,2,0.0
75,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
76,2459623.8729977,18.8103065490723,0.0936447232961655,r,99.0,1,0.0
77,2459624.7701736,18.7742557525635,0.114551223814487,g,99.0,2,0.0
78,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
79,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
80,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
81,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
82,2459625.7900231,18.894905090332,0.127030670642853,r,99.0,1,0.0
83,2459625.8809722,18.7828502655029,0.102327361702919,g,99.0,2,0.0
84,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
85,2459624.7701736,18.7742557525635,0.114551223814487,g,99.0,2,0.0
86,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
87,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
88,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
89,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
90,2459625.7900231,18.894905090332,0.127030670642853,r,99.0,1,0.0
91,2459625.8809722,18.7828502655029,0.102327361702919,g,99.0,2,0.0
92,2459621.979294,18.7083377838135,0.0657084807753563,g,99.0,2,0.0
93,2459624.8523495,18.9502468109131,0.101227268576622,r,99.0,2,0.0
94,2459625.7250926,18.4991874694824,0.176952302455902,g,99.0,2,0.0
95,2459625.7361343,18.6847877502441,0.152073442935944,g,99.0,1,0.0
96,2459625.758912,18.8097171783447,0.105991750955582,r,99.0,2,0.0
