,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459624.7213657,19.2588005065918,0.206733003258705,g,99.0,1,0.0
1,2459624.8419792,19.0632514953613,0.168102219700813,r,99.0,1,0.0
4,2459627.7271759,19.5118007659912,0.280216991901398,g,99.0,1,0.0
5,2459627.7281366,19.2344055175781,0.180613741278648,g,99.0,1,0.0
6,2459624.7213657,19.2588005065918,0.206733003258705,g,99.0,1,0.0
7,2459624.8419792,19.0632514953613,0.168102219700813,r,99.0,1,0.0
9,2459627.7271759,19.5118007659912,0.280216991901398,g,99.0,1,0.0
10,2459627.7281366,19.2344055175781,0.180613741278648,g,99.0,1,0.0
11,2459624.7213657,19.2588005065918,0.206733003258705,g,99.0,1,0.0
13,2459627.7271759,19.5118007659912,0.280216991901398,g,99.0,1,0.0
14,2459627.7281366,19.2344055175781,0.180613741278648,g,99.0,1,0.0
15,2459624.7213657,19.2588005065918,0.206733003258705,g,99.0,1,0.0
17,2459627.7281366,19.2344055175781,0.180613741278648,g,99.0,1,0.0
18,2459624.7213657,19.2588005065918,0.206733003258705,g,99.0,1,0.0
19,2459627.7281366,19.2344055175781,0.180613741278648,g,99.0,1,0.0
20,2459624.7213657,19.2588005065918,0.206733003258705,g,99.0,1,0.0
