,jd,mag,mag_unc,filter,limmag,programid,forced
3,2459623.9556713,19.8481998443604,0.209934994578362,r,99.0,1,0.0
5,2459623.9640046,19.5983009338379,0.219464004039764,r,99.0,1,0.0
6,2459624.0233796,19.8771991729736,0.213725998997688,g,99.0,1,0.0
7,2459624.0243403,19.5919990539551,0.119915999472141,g,99.0,1,0.0
10,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
12,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
16,2459623.9556713,19.8481998443604,0.209934994578362,r,99.0,1,0.0
17,2459623.9640046,19.5983009338379,0.219464004039764,r,99.0,1,0.0
18,2459624.0233796,19.8771991729736,0.213725998997688,g,99.0,1,0.0
19,2459624.0243403,19.5919990539551,0.119915999472141,g,99.0,1,0.0
22,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
24,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
28,2459623.9640046,19.5983009338379,0.219464004039764,r,99.0,1,0.0
29,2459624.0233796,19.8771991729736,0.213725998997688,g,99.0,1,0.0
30,2459624.0243403,19.5919990539551,0.119915999472141,g,99.0,1,0.0
33,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
35,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
38,2459623.9640046,19.5983009338379,0.219464004039764,r,99.0,1,0.0
39,2459624.0233796,19.8771991729736,0.213725998997688,g,99.0,1,0.0
40,2459624.0243403,19.5919990539551,0.119915999472141,g,99.0,1,0.0
43,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
45,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
47,2459623.9640046,19.5983009338379,0.219464004039764,r,99.0,1,0.0
48,2459624.0233796,19.8771991729736,0.213725998997688,g,99.0,1,0.0
49,2459624.0243403,19.5919990539551,0.119915999472141,g,99.0,1,0.0
52,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
54,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
56,2459624.0233796,19.8771991729736,0.213725998997688,g,99.0,1,0.0
57,2459624.0243403,19.5919990539551,0.119915999472141,g,99.0,1,0.0
60,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
62,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
64,2459624.0243403,19.5919990539551,0.119915999472141,g,99.0,1,0.0
67,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
69,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
73,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
75,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
78,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
80,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
82,2459625.9858912,19.7063999176025,0.285697013139725,r,99.0,1,0.0
84,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
87,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
89,2459625.9887731,19.5693511962891,0.21142552793026,r,99.0,1,0.0
