,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459622.915,19.8774566650391,0.198756903409958,r,99.0,2,0.0
6,2459623.0027083,20.0032386779785,0.16112457215786,g,99.0,1,0.0
7,2459623.0237153,19.7750720977783,0.176194712519646,r,99.0,1,0.0
10,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
13,2459622.915,19.8774566650391,0.198756903409958,r,99.0,2,0.0
16,2459623.0027083,20.0032386779785,0.16112457215786,g,99.0,1,0.0
17,2459623.0237153,19.7750720977783,0.176194712519646,r,99.0,1,0.0
20,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
23,2459622.915,19.8774566650391,0.198756903409958,r,99.0,2,0.0
25,2459623.0027083,20.0032386779785,0.16112457215786,g,99.0,1,0.0
26,2459623.0237153,19.7750720977783,0.176194712519646,r,99.0,1,0.0
29,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
31,2459622.915,19.8774566650391,0.198756903409958,r,99.0,2,0.0
33,2459623.0027083,20.0032386779785,0.16112457215786,g,99.0,1,0.0
34,2459623.0237153,19.7750720977783,0.176194712519646,r,99.0,1,0.0
37,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
40,2459623.0027083,20.0032386779785,0.16112457215786,g,99.0,1,0.0
41,2459623.0237153,19.7750720977783,0.176194712519646,r,99.0,1,0.0
44,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
46,2459623.0027083,20.0032386779785,0.16112457215786,g,99.0,1,0.0
47,2459623.0237153,19.7750720977783,0.176194712519646,r,99.0,1,0.0
50,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
52,2459623.0237153,19.7750720977783,0.176194712519646,r,99.0,1,0.0
55,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
59,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
62,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
64,2459624.9025231,19.9999599456787,0.21404404938221,r,99.0,1,0.0
