,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459622.8011458,19.3837738037109,0.193460211157799,g,99.0,2,0.0
2,2459622.8858102,19.4895248413086,0.182270333170891,g,99.0,2,0.0
3,2459622.9497338,19.6002006530762,0.227691993117332,r,99.0,1,0.0
4,2459622.9523148,19.3243980407715,0.140048578381538,r,99.0,2,0.0
5,2459623.0066667,19.447322845459,0.114029958844185,g,99.0,1,0.0
6,2459623.9247801,19.5553684234619,0.168532624840736,g,99.0,2,0.0
7,2459624.7672454,19.4988327026367,0.178048089146614,g,99.0,1,0.0
8,2459624.8051968,19.4796257019043,0.172130316495895,g,99.0,2,0.0
9,2459624.8465162,19.4374561309814,0.185465410351753,r,99.0,1,0.0
10,2459621.9565278,19.4908008575439,0.152153000235558,r,99.0,2,0.0
11,2459627.7292824,19.3046989440918,0.167809337377548,g,99.0,2,0.0
12,2459628.6789468,19.7516994476318,0.218979001045227,g,99.0,2,0.0
13,2459628.8119097,19.4592876434326,0.179565563797951,r,99.0,2,0.0
14,2459622.8011458,19.3837738037109,0.193460211157799,g,99.0,2,0.0
15,2459622.8858102,19.4895248413086,0.182270333170891,g,99.0,2,0.0
16,2459622.9497338,19.6002006530762,0.227691993117332,r,99.0,1,0.0
17,2459622.9523148,19.3243980407715,0.140048578381538,r,99.0,2,0.0
18,2459623.0066667,19.447322845459,0.114029958844185,g,99.0,1,0.0
19,2459623.9247801,19.5553684234619,0.168532624840736,g,99.0,2,0.0
20,2459624.7672454,19.4988327026367,0.178048089146614,g,99.0,1,0.0
21,2459624.8051968,19.4796257019043,0.172130316495895,g,99.0,2,0.0
22,2459624.8465162,19.4374561309814,0.185465410351753,r,99.0,1,0.0
23,2459621.9565278,19.4908008575439,0.152153000235558,r,99.0,2,0.0
24,2459627.7292824,19.3046989440918,0.167809337377548,g,99.0,2,0.0
25,2459628.6789468,19.7516994476318,0.218979001045227,g,99.0,2,0.0
26,2459628.8119097,19.4592876434326,0.179565563797951,r,99.0,2,0.0
27,2459622.8011458,19.3837738037109,0.193460211157799,g,99.0,2,0.0
28,2459622.8858102,19.4895248413086,0.182270333170891,g,99.0,2,0.0
29,2459622.9497338,19.6002006530762,0.227691993117332,r,99.0,1,0.0
30,2459623.0066667,19.447322845459,0.114029958844185,g,99.0,1,0.0
31,2459623.9247801,19.5553684234619,0.168532624840736,g,99.0,2,0.0
32,2459624.7672454,19.4988327026367,0.178048089146614,g,99.0,1,0.0
33,2459624.8051968,19.4796257019043,0.172130316495895,g,99.0,2,0.0
34,2459624.8465162,19.4374561309814,0.185465410351753,r,99.0,1,0.0
35,2459621.9565278,19.4908008575439,0.152153000235558,r,99.0,2,0.0
36,2459627.7292824,19.3046989440918,0.167809337377548,g,99.0,2,0.0
37,2459628.6789468,19.7516994476318,0.218979001045227,g,99.0,2,0.0
38,2459628.8119097,19.4592876434326,0.179565563797951,r,99.0,2,0.0
39,2459622.8011458,19.3837738037109,0.193460211157799,g,99.0,2,0.0
40,2459622.9497338,19.6002006530762,0.227691993117332,r,99.0,1,0.0
41,2459623.0066667,19.447322845459,0.114029958844185,g,99.0,1,0.0
42,2459623.9247801,19.5553684234619,0.168532624840736,g,99.0,2,0.0
43,2459624.7672454,19.4988327026367,0.178048089146614,g,99.0,1,0.0
44,2459624.8051968,19.4796257019043,0.172130316495895,g,99.0,2,0.0
45,2459624.8465162,19.4374561309814,0.185465410351753,r,99.0,1,0.0
46,2459621.9565278,19.4908008575439,0.152153000235558,r,99.0,2,0.0
47,2459627.7292824,19.3046989440918,0.167809337377548,g,99.0,2,0.0
48,2459628.6789468,19.7516994476318,0.218979001045227,g,99.0,2,0.0
49,2459628.8119097,19.4592876434326,0.179565563797951,r,99.0,2,0.0
50,2459622.9497338,19.6002006530762,0.227691993117332,r,99.0,1,0.0
51,2459623.0066667,19.447322845459,0.114029958844185,g,99.0,1,0.0
52,2459623.9247801,19.5553684234619,0.168532624840736,g,99.0,2,0.0
53,2459624.7672454,19.4988327026367,0.178048089146614,g,99.0,1,0.0
54,2459624.8051968,19.4796257019043,0.172130316495895,g,99.0,2,0.0
55,2459624.8465162,19.4374561309814,0.185465410351753,r,99.0,1,0.0
56,2459621.9565278,19.4908008575439,0.152153000235558,r,99.0,2,0.0
57,2459627.7292824,19.3046989440918,0.167809337377548,g,99.0,2,0.0
58,2459628.6789468,19.7516994476318,0.218979001045227,g,99.0,2,0.0
59,2459628.8119097,19.4592876434326,0.179565563797951,r,99.0,2,0.0
60,2459623.0066667,19.447322845459,0.114029958844185,g,99.0,1,0.0
61,2459623.9247801,19.5553684234619,0.168532624840736,g,99.0,2,0.0
62,2459624.7672454,19.4988327026367,0.178048089146614,g,99.0,1,0.0
63,2459624.8051968,19.4796257019043,0.172130316495895,g,99.0,2,0.0
64,2459624.8465162,19.4374561309814,0.185465410351753,r,99.0,1,0.0
65,2459621.9565278,19.4908008575439,0.152153000235558,r,99.0,2,0.0
