,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459622.9159606,19.0446872711182,0.160850718617439,r,99.0,2,0.0
4,2459622.9315278,18.8209781646729,0.109778068959713,i,99.0,2,0.0
7,2459623.0027083,19.5009708404541,0.136438280344009,g,99.0,1,0.0
8,2459623.0237153,19.0689449310303,0.0986266061663628,r,99.0,1,0.0
12,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
15,2459622.9159606,19.0446872711182,0.160850718617439,r,99.0,2,0.0
16,2459622.9315278,18.8209781646729,0.109778068959713,i,99.0,2,0.0
19,2459623.0027083,19.5009708404541,0.136438280344009,g,99.0,1,0.0
20,2459623.0237153,19.0689449310303,0.0986266061663628,r,99.0,1,0.0
24,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
27,2459622.9159606,19.0446872711182,0.160850718617439,r,99.0,2,0.0
30,2459623.0027083,19.5009708404541,0.136438280344009,g,99.0,1,0.0
31,2459623.0237153,19.0689449310303,0.0986266061663628,r,99.0,1,0.0
35,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
37,2459622.9159606,19.0446872711182,0.160850718617439,r,99.0,2,0.0
40,2459623.0027083,19.5009708404541,0.136438280344009,g,99.0,1,0.0
41,2459623.0237153,19.0689449310303,0.0986266061663628,r,99.0,1,0.0
45,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
49,2459623.0027083,19.5009708404541,0.136438280344009,g,99.0,1,0.0
50,2459623.0237153,19.0689449310303,0.0986266061663628,r,99.0,1,0.0
54,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
57,2459623.0027083,19.5009708404541,0.136438280344009,g,99.0,1,0.0
58,2459623.0237153,19.0689449310303,0.0986266061663628,r,99.0,1,0.0
62,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
64,2459623.0027083,19.5009708404541,0.136438280344009,g,99.0,1,0.0
65,2459623.0237153,19.0689449310303,0.0986266061663628,r,99.0,1,0.0
69,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
71,2459623.0237153,19.0689449310303,0.0986266061663628,r,99.0,1,0.0
75,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
80,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
84,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
87,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
89,2459624.9025231,19.8445224761963,0.189463406801224,r,99.0,1,0.0
