,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459627.622662,19.202917098999,0.196875378489494,r,99.0,2,0.0
1,2459627.6316782,19.3286991119385,0.227243006229401,r,99.0,2,0.0
2,2459628.6187847,19.6483993530273,0.219371005892754,r,99.0,2,0.0
3,2459628.6248495,19.5095291137695,0.195670738816261,r,99.0,2,0.0
4,2459627.622662,19.202917098999,0.196875378489494,r,99.0,2,0.0
5,2459627.6316782,19.3286991119385,0.227243006229401,r,99.0,2,0.0
6,2459628.6248495,19.5095291137695,0.195670738816261,r,99.0,2,0.0
7,2459627.622662,19.202917098999,0.196875378489494,r,99.0,2,0.0
8,2459627.6316782,19.3286991119385,0.227243006229401,r,99.0,2,0.0
9,2459627.622662,19.202917098999,0.196875378489494,r,99.0,2,0.0
