,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459621.9390625,19.7201766967773,0.180905774235725,r,99.0,2,0.0
1,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
2,2459622.7973843,19.2632007598877,0.220454007387161,g,99.0,2,0.0
3,2459622.8795023,19.1294574737549,0.162841111421585,g,99.0,2,0.0
4,2459622.8983218,19.6462001800537,0.226979002356529,r,99.0,2,0.0
5,2459622.9817477,19.4112358093262,0.194671601057053,r,99.0,2,0.0
6,2459623.775081,19.5104694366455,0.159104645252228,r,99.0,2,0.0
7,2459623.8783912,19.3475227355957,0.153961643576622,r,99.0,1,0.0
8,2459623.9406134,19.2270450592041,0.12084885686636,r,99.0,2,0.0
9,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
10,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
11,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
12,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
13,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
14,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
15,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
16,2459621.9390625,19.7201766967773,0.180905774235725,r,99.0,2,0.0
17,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
18,2459622.7973843,19.2632007598877,0.220454007387161,g,99.0,2,0.0
19,2459622.8983218,19.6462001800537,0.226979002356529,r,99.0,2,0.0
20,2459622.9817477,19.4112358093262,0.194671601057053,r,99.0,2,0.0
21,2459623.775081,19.5104694366455,0.159104645252228,r,99.0,2,0.0
22,2459623.8783912,19.3475227355957,0.153961643576622,r,99.0,1,0.0
23,2459623.9406134,19.2270450592041,0.12084885686636,r,99.0,2,0.0
24,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
25,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
26,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
27,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
28,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
29,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
30,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
31,2459621.9390625,19.7201766967773,0.180905774235725,r,99.0,2,0.0
32,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
33,2459622.7973843,19.2632007598877,0.220454007387161,g,99.0,2,0.0
34,2459622.9817477,19.4112358093262,0.194671601057053,r,99.0,2,0.0
35,2459623.775081,19.5104694366455,0.159104645252228,r,99.0,2,0.0
36,2459623.8783912,19.3475227355957,0.153961643576622,r,99.0,1,0.0
37,2459623.9406134,19.2270450592041,0.12084885686636,r,99.0,2,0.0
38,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
39,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
40,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
41,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
42,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
43,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
44,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
45,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
46,2459622.7973843,19.2632007598877,0.220454007387161,g,99.0,2,0.0
47,2459622.9817477,19.4112358093262,0.194671601057053,r,99.0,2,0.0
48,2459623.775081,19.5104694366455,0.159104645252228,r,99.0,2,0.0
49,2459623.8783912,19.3475227355957,0.153961643576622,r,99.0,1,0.0
50,2459623.9406134,19.2270450592041,0.12084885686636,r,99.0,2,0.0
51,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
52,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
53,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
54,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
55,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
56,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
57,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
58,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
59,2459622.9817477,19.4112358093262,0.194671601057053,r,99.0,2,0.0
60,2459623.775081,19.5104694366455,0.159104645252228,r,99.0,2,0.0
61,2459623.8783912,19.3475227355957,0.153961643576622,r,99.0,1,0.0
62,2459623.9406134,19.2270450592041,0.12084885686636,r,99.0,2,0.0
63,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
64,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
65,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
66,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
67,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
68,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
69,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
70,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
71,2459623.775081,19.5104694366455,0.159104645252228,r,99.0,2,0.0
72,2459623.8783912,19.3475227355957,0.153961643576622,r,99.0,1,0.0
73,2459623.9406134,19.2270450592041,0.12084885686636,r,99.0,2,0.0
74,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
75,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
76,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
77,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
78,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
79,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
80,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
81,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
82,2459623.8783912,19.3475227355957,0.153961643576622,r,99.0,1,0.0
83,2459623.9406134,19.2270450592041,0.12084885686636,r,99.0,2,0.0
84,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
85,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
86,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
87,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
88,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
89,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
90,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
91,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
92,2459623.9406134,19.2270450592041,0.12084885686636,r,99.0,2,0.0
93,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
94,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
95,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
96,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
97,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
98,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
99,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
100,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
101,2459624.7776273,19.1574478149414,0.169575840234756,g,99.0,2,0.0
102,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
103,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
104,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
105,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
106,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
107,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
108,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
109,2459624.8598264,19.248987197876,0.159681439399719,r,99.0,2,0.0
110,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
111,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
112,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
113,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
114,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
115,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
116,2459624.9548032,19.5136604309082,0.184483334422112,i,99.0,2,0.0
117,2459625.7598727,19.1642284393311,0.147049948573112,r,99.0,2,0.0
118,2459625.854375,18.8323040008545,0.124804899096489,g,99.0,2,0.0
119,2459625.8559606,18.9737758636475,0.155814334750175,g,99.0,1,0.0
120,2459625.9152894,19.2210731506348,0.149972707033157,r,99.0,1,0.0
121,2459621.9624074,19.4121265411377,0.118594601750374,g,99.0,2,0.0
