,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459627.6419097,18.8198223114014,0.102601908147335,r,99.0,1,0.0
1,2459627.722662,19.0118999481201,0.221669003367424,g,99.0,1,0.0
2,2459628.6427662,19.0477695465088,0.106095016002655,r,99.0,2,0.0
3,2459629.6386343,19.4316482543945,0.106646060943604,r,99.0,1,0.0
4,2459627.6419097,18.8198223114014,0.102601908147335,r,99.0,1,0.0
5,2459627.722662,19.0118999481201,0.221669003367424,g,99.0,1,0.0
6,2459629.6386343,19.4316482543945,0.106646060943604,r,99.0,1,0.0
7,2459627.6419097,18.8198223114014,0.102601908147335,r,99.0,1,0.0
8,2459627.722662,19.0118999481201,0.221669003367424,g,99.0,1,0.0
9,2459627.6419097,18.8198223114014,0.102601908147335,r,99.0,1,0.0
