,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
2,2459623.0047222,20.3194007873535,0.248456999659538,g,99.0,1,0.0
3,2459623.8536806,19.2691287994385,0.1359853297472,r,99.0,1,0.0
5,2459624.8819097,19.3155097961426,0.153753384947777,r,99.0,1,0.0
8,2459625.7795139,19.6184005737305,0.238801002502441,r,99.0,1,0.0
9,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
10,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
11,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
13,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
14,2459623.0047222,20.3194007873535,0.248456999659538,g,99.0,1,0.0
16,2459624.8819097,19.3155097961426,0.153753384947777,r,99.0,1,0.0
19,2459625.7795139,19.6184005737305,0.238801002502441,r,99.0,1,0.0
20,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
21,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
22,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
24,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
25,2459623.0047222,20.3194007873535,0.248456999659538,g,99.0,1,0.0
26,2459624.8819097,19.3155097961426,0.153753384947777,r,99.0,1,0.0
29,2459625.7795139,19.6184005737305,0.238801002502441,r,99.0,1,0.0
30,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
31,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
32,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
33,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
34,2459623.0047222,20.3194007873535,0.248456999659538,g,99.0,1,0.0
35,2459624.8819097,19.3155097961426,0.153753384947777,r,99.0,1,0.0
38,2459625.7795139,19.6184005737305,0.238801002502441,r,99.0,1,0.0
39,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
40,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
41,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
42,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
43,2459624.8819097,19.3155097961426,0.153753384947777,r,99.0,1,0.0
46,2459625.7795139,19.6184005737305,0.238801002502441,r,99.0,1,0.0
47,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
48,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
49,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
50,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
53,2459625.7795139,19.6184005737305,0.238801002502441,r,99.0,1,0.0
54,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
55,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
56,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
57,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
59,2459625.7795139,19.6184005737305,0.238801002502441,r,99.0,1,0.0
60,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
61,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
62,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
63,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
64,2459625.7795139,19.6184005737305,0.238801002502441,r,99.0,1,0.0
65,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
66,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
67,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
68,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
69,2459628.9039931,19.5345001220703,0.260221004486084,r,99.0,1,0.0
70,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
71,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
72,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
73,2459629.8353935,19.4351062774658,0.204262658953667,r,99.0,1,0.0
74,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
75,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
76,2459629.8630671,19.7249813079834,0.183682486414909,r,99.0,2,0.0
77,2459622.944919,19.1892108917236,0.128191590309143,r,99.0,1,0.0
