,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459624.6225116,19.9342002868652,0.248579993844032,r,99.0,2,0.0
1,2459625.6246759,19.7176990509033,0.314907997846603,r,99.0,2,0.0
2,2459627.6250579,19.4351005554199,0.25424998998642,r,99.0,2,0.0
3,2459628.6181829,19.9386005401611,0.261067986488342,r,99.0,2,0.0
4,2459628.6212153,19.6644878387451,0.206102102994919,r,99.0,2,0.0
5,2459624.6225116,19.9342002868652,0.248579993844032,r,99.0,2,0.0
6,2459627.6250579,19.4351005554199,0.25424998998642,r,99.0,2,0.0
7,2459628.6181829,19.9386005401611,0.261067986488342,r,99.0,2,0.0
8,2459628.6212153,19.6644878387451,0.206102102994919,r,99.0,2,0.0
9,2459624.6225116,19.9342002868652,0.248579993844032,r,99.0,2,0.0
10,2459628.6181829,19.9386005401611,0.261067986488342,r,99.0,2,0.0
11,2459628.6212153,19.6644878387451,0.206102102994919,r,99.0,2,0.0
12,2459624.6225116,19.9342002868652,0.248579993844032,r,99.0,2,0.0
13,2459628.6212153,19.6644878387451,0.206102102994919,r,99.0,2,0.0
14,2459624.6225116,19.9342002868652,0.248579993844032,r,99.0,2,0.0
