,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459622.7138542,19.7668991088867,0.264584988355637,g,99.0,1,0.0
1,2459624.6795602,19.8302001953125,0.220032006502151,r,99.0,1,0.0
2,2459627.6643171,19.7271003723145,0.192750006914139,r,99.0,1,0.0
3,2459628.6461921,20.0487632751465,0.185886934399605,r,99.0,2,0.0
4,2459622.7138542,19.7668991088867,0.264584988355637,g,99.0,1,0.0
5,2459624.6795602,19.8302001953125,0.220032006502151,r,99.0,1,0.0
6,2459628.6461921,20.0487632751465,0.185886934399605,r,99.0,2,0.0
7,2459622.7138542,19.7668991088867,0.264584988355637,g,99.0,1,0.0
8,2459624.6795602,19.8302001953125,0.220032006502151,r,99.0,1,0.0
9,2459624.6795602,19.8302001953125,0.220032006502151,r,99.0,1,0.0
