,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459628.6702894,19.6429004669189,0.239197999238968,g,99.0,2,0.0
1,2459628.8080556,19.7828998565674,0.252191007137299,r,99.0,2,0.0
2,2459628.8095139,19.6786842346191,0.215767428278923,r,99.0,2,0.0
3,2459628.9183912,19.6189994812012,0.39546200633049,r,99.0,2,0.0
4,2459629.7289931,19.4666366577148,0.215645536780357,g,99.0,2,0.0
5,2459629.7503356,19.410177230835,0.194155290722847,r,99.0,2,0.0
6,2459629.8436111,19.4090003967285,0.182594999670982,r,99.0,1,0.0
7,2459629.8440972,19.5740299224854,0.180029183626175,r,99.0,1,0.0
8,2459629.7498495,19.8365993499756,0.317557990550995,r,99.0,2,0.0
9,2459629.9113079,19.2731990814209,0.222920000553131,g,99.0,1,0.0
10,2459629.9565972,19.8556995391846,0.409934014081955,g,99.0,2,0.0
11,2459629.9827315,19.5463008880615,0.251993000507355,r,99.0,2,0.0
12,2459629.9836806,19.5286998748779,0.266602993011475,r,99.0,2,0.0
13,2459630.9197801,19.2988739013672,0.174110159277916,g,99.0,2,0.0
14,2459628.6702894,19.6429004669189,0.239197999238968,g,99.0,2,0.0
15,2459628.8080556,19.7828998565674,0.252191007137299,r,99.0,2,0.0
16,2459628.8095139,19.6786842346191,0.215767428278923,r,99.0,2,0.0
17,2459628.9183912,19.6189994812012,0.39546200633049,r,99.0,2,0.0
18,2459629.7289931,19.4666366577148,0.215645536780357,g,99.0,2,0.0
19,2459629.7503356,19.410177230835,0.194155290722847,r,99.0,2,0.0
20,2459629.8436111,19.4090003967285,0.182594999670982,r,99.0,1,0.0
21,2459629.8440972,19.5740299224854,0.180029183626175,r,99.0,1,0.0
22,2459629.7498495,19.8365993499756,0.317557990550995,r,99.0,2,0.0
23,2459629.9113079,19.2731990814209,0.222920000553131,g,99.0,1,0.0
24,2459629.9565972,19.8556995391846,0.409934014081955,g,99.0,2,0.0
25,2459629.9827315,19.5463008880615,0.251993000507355,r,99.0,2,0.0
26,2459630.9197801,19.2988739013672,0.174110159277916,g,99.0,2,0.0
27,2459628.6702894,19.6429004669189,0.239197999238968,g,99.0,2,0.0
28,2459628.8080556,19.7828998565674,0.252191007137299,r,99.0,2,0.0
29,2459628.9183912,19.6189994812012,0.39546200633049,r,99.0,2,0.0
30,2459629.7289931,19.4666366577148,0.215645536780357,g,99.0,2,0.0
31,2459629.7503356,19.410177230835,0.194155290722847,r,99.0,2,0.0
32,2459629.8436111,19.4090003967285,0.182594999670982,r,99.0,1,0.0
33,2459629.8440972,19.5740299224854,0.180029183626175,r,99.0,1,0.0
34,2459629.7498495,19.8365993499756,0.317557990550995,r,99.0,2,0.0
35,2459629.9113079,19.2731990814209,0.222920000553131,g,99.0,1,0.0
36,2459629.9565972,19.8556995391846,0.409934014081955,g,99.0,2,0.0
37,2459629.9827315,19.5463008880615,0.251993000507355,r,99.0,2,0.0
38,2459630.9197801,19.2988739013672,0.174110159277916,g,99.0,2,0.0
39,2459628.6702894,19.6429004669189,0.239197999238968,g,99.0,2,0.0
40,2459628.8080556,19.7828998565674,0.252191007137299,r,99.0,2,0.0
41,2459628.9183912,19.6189994812012,0.39546200633049,r,99.0,2,0.0
42,2459629.7503356,19.410177230835,0.194155290722847,r,99.0,2,0.0
43,2459629.8436111,19.4090003967285,0.182594999670982,r,99.0,1,0.0
44,2459629.8440972,19.5740299224854,0.180029183626175,r,99.0,1,0.0
45,2459629.7498495,19.8365993499756,0.317557990550995,r,99.0,2,0.0
46,2459629.9113079,19.2731990814209,0.222920000553131,g,99.0,1,0.0
47,2459629.9565972,19.8556995391846,0.409934014081955,g,99.0,2,0.0
48,2459629.9827315,19.5463008880615,0.251993000507355,r,99.0,2,0.0
49,2459630.9197801,19.2988739013672,0.174110159277916,g,99.0,2,0.0
50,2459628.8080556,19.7828998565674,0.252191007137299,r,99.0,2,0.0
51,2459628.9183912,19.6189994812012,0.39546200633049,r,99.0,2,0.0
52,2459629.7503356,19.410177230835,0.194155290722847,r,99.0,2,0.0
53,2459629.8436111,19.4090003967285,0.182594999670982,r,99.0,1,0.0
54,2459629.8440972,19.5740299224854,0.180029183626175,r,99.0,1,0.0
55,2459629.7498495,19.8365993499756,0.317557990550995,r,99.0,2,0.0
56,2459629.9113079,19.2731990814209,0.222920000553131,g,99.0,1,0.0
