,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459630.0149421,20.0240993499756,0.245727002620697,r,99.0,2,0.0
1,2459636.7143056,19.8284816741943,0.147815957665443,g,99.0,2,0.0
2,2459636.8431366,19.866455078125,0.149128928780556,r,99.0,2,0.0
3,2459636.9107292,19.8677845001221,0.169243514537811,r,99.0,1,0.0
4,2459636.9116782,19.9127998352051,0.152558013796806,r,99.0,2,0.0
5,2459636.9434259,20.0013637542725,0.159690678119659,g,99.0,1,0.0
6,2459636.9506481,19.9300689697266,0.156405910849571,g,99.0,2,0.0
7,2459630.0149421,20.0240993499756,0.245727002620697,r,99.0,2,0.0
8,2459636.7143056,19.8284816741943,0.147815957665443,g,99.0,2,0.0
9,2459636.9107292,19.8677845001221,0.169243514537811,r,99.0,1,0.0
10,2459636.9116782,19.9127998352051,0.152558013796806,r,99.0,2,0.0
11,2459636.9434259,20.0013637542725,0.159690678119659,g,99.0,1,0.0
12,2459636.9506481,19.9300689697266,0.156405910849571,g,99.0,2,0.0
13,2459630.0149421,20.0240993499756,0.245727002620697,r,99.0,2,0.0
14,2459636.9107292,19.8677845001221,0.169243514537811,r,99.0,1,0.0
15,2459636.9116782,19.9127998352051,0.152558013796806,r,99.0,2,0.0
16,2459636.9434259,20.0013637542725,0.159690678119659,g,99.0,1,0.0
17,2459636.9506481,19.9300689697266,0.156405910849571,g,99.0,2,0.0
18,2459630.0149421,20.0240993499756,0.245727002620697,r,99.0,2,0.0
19,2459636.9116782,19.9127998352051,0.152558013796806,r,99.0,2,0.0
20,2459636.9434259,20.0013637542725,0.159690678119659,g,99.0,1,0.0
21,2459636.9506481,19.9300689697266,0.156405910849571,g,99.0,2,0.0
22,2459630.0149421,20.0240993499756,0.245727002620697,r,99.0,2,0.0
23,2459636.9434259,20.0013637542725,0.159690678119659,g,99.0,1,0.0
24,2459636.9506481,19.9300689697266,0.156405910849571,g,99.0,2,0.0
25,2459630.0149421,20.0240993499756,0.245727002620697,r,99.0,2,0.0
26,2459636.9506481,19.9300689697266,0.156405910849571,g,99.0,2,0.0
27,2459630.0149421,20.0240993499756,0.245727002620697,r,99.0,2,0.0
