,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459630.9858102,20.3346996307373,0.244167000055313,r,99.0,2,0.0
1,2459636.7418981,20.3150997161865,0.220698997378349,g,99.0,2,0.0
2,2459636.7428588,20.2018737792969,0.161747798323631,g,99.0,2,0.0
3,2459636.7433333,20.544900894165,0.259923994541168,g,99.0,1,0.0
4,2459636.841169,20.7303009033203,0.344530999660492,r,99.0,2,0.0
5,2459636.9088079,20.238410949707,0.145068556070328,r,99.0,1,0.0
6,2459636.9443866,20.2054138183594,0.211963206529617,g,99.0,2,0.0
7,2459637.0270139,19.9888000488281,0.330303013324738,r,99.0,2,0.0
8,2459637.7235301,20.1658992767334,0.22859700024128,g,99.0,2,0.0
9,2459637.7244907,20.1617374420166,0.194287925958633,g,99.0,1,0.0
10,2459637.7254514,20.2728271484375,0.206505820155144,g,99.0,2,0.0
11,2459637.8330787,20.2399005889893,0.224236994981766,r,99.0,1,0.0
12,2459637.8944907,20.2495098114014,0.210654348134995,g,99.0,2,0.0
13,2459636.7418981,20.3150997161865,0.220698997378349,g,99.0,2,0.0
14,2459636.7428588,20.2018737792969,0.161747798323631,g,99.0,2,0.0
15,2459636.7433333,20.544900894165,0.259923994541168,g,99.0,1,0.0
16,2459636.841169,20.7303009033203,0.344530999660492,r,99.0,2,0.0
17,2459636.9088079,20.238410949707,0.145068556070328,r,99.0,1,0.0
18,2459636.9443866,20.2054138183594,0.211963206529617,g,99.0,2,0.0
19,2459637.0270139,19.9888000488281,0.330303013324738,r,99.0,2,0.0
20,2459637.7235301,20.1658992767334,0.22859700024128,g,99.0,2,0.0
21,2459637.7244907,20.1617374420166,0.194287925958633,g,99.0,1,0.0
22,2459637.7254514,20.2728271484375,0.206505820155144,g,99.0,2,0.0
23,2459637.8330787,20.2399005889893,0.224236994981766,r,99.0,1,0.0
24,2459637.8944907,20.2495098114014,0.210654348134995,g,99.0,2,0.0
25,2459636.7418981,20.3150997161865,0.220698997378349,g,99.0,2,0.0
26,2459636.7428588,20.2018737792969,0.161747798323631,g,99.0,2,0.0
27,2459636.7433333,20.544900894165,0.259923994541168,g,99.0,1,0.0
28,2459636.9088079,20.238410949707,0.145068556070328,r,99.0,1,0.0
29,2459636.9443866,20.2054138183594,0.211963206529617,g,99.0,2,0.0
30,2459637.0270139,19.9888000488281,0.330303013324738,r,99.0,2,0.0
