,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459636.7143056,20.0824813842773,0.183462888002396,g,99.0,2,0.0
1,2459636.8431366,20.0724544525146,0.176164001226425,r,99.0,2,0.0
2,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
3,2459636.9107292,20.1497840881348,0.190507441759109,r,99.0,1,0.0
4,2459636.9116782,20.1797981262207,0.173674806952477,r,99.0,2,0.0
5,2459636.9434259,20.2003631591797,0.210347831249237,g,99.0,1,0.0
6,2459636.9506481,20.2971000671387,0.219840005040169,g,99.0,2,0.0
7,2459637.9020833,20.1124000549316,0.226561993360519,r,99.0,2,0.0
8,2459638.8852894,20.0471382141113,0.213263005018234,r,99.0,2,0.0
9,2459636.8431366,20.0724544525146,0.176164001226425,r,99.0,2,0.0
10,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
11,2459636.9107292,20.1497840881348,0.190507441759109,r,99.0,1,0.0
12,2459636.9116782,20.1797981262207,0.173674806952477,r,99.0,2,0.0
13,2459636.9434259,20.2003631591797,0.210347831249237,g,99.0,1,0.0
14,2459636.9506481,20.2971000671387,0.219840005040169,g,99.0,2,0.0
15,2459637.9020833,20.1124000549316,0.226561993360519,r,99.0,2,0.0
16,2459638.8852894,20.0471382141113,0.213263005018234,r,99.0,2,0.0
17,2459636.8431366,20.0724544525146,0.176164001226425,r,99.0,2,0.0
18,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
19,2459636.9116782,20.1797981262207,0.173674806952477,r,99.0,2,0.0
20,2459636.9434259,20.2003631591797,0.210347831249237,g,99.0,1,0.0
21,2459636.9506481,20.2971000671387,0.219840005040169,g,99.0,2,0.0
22,2459637.9020833,20.1124000549316,0.226561993360519,r,99.0,2,0.0
23,2459638.8852894,20.0471382141113,0.213263005018234,r,99.0,2,0.0
24,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
25,2459636.9116782,20.1797981262207,0.173674806952477,r,99.0,2,0.0
26,2459636.9434259,20.2003631591797,0.210347831249237,g,99.0,1,0.0
27,2459636.9506481,20.2971000671387,0.219840005040169,g,99.0,2,0.0
28,2459637.9020833,20.1124000549316,0.226561993360519,r,99.0,2,0.0
29,2459638.8852894,20.0471382141113,0.213263005018234,r,99.0,2,0.0
30,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
31,2459636.9434259,20.2003631591797,0.210347831249237,g,99.0,1,0.0
32,2459636.9506481,20.2971000671387,0.219840005040169,g,99.0,2,0.0
33,2459637.9020833,20.1124000549316,0.226561993360519,r,99.0,2,0.0
34,2459638.8852894,20.0471382141113,0.213263005018234,r,99.0,2,0.0
35,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
36,2459636.9506481,20.2971000671387,0.219840005040169,g,99.0,2,0.0
37,2459637.9020833,20.1124000549316,0.226561993360519,r,99.0,2,0.0
38,2459638.8852894,20.0471382141113,0.213263005018234,r,99.0,2,0.0
39,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
40,2459637.9020833,20.1124000549316,0.226561993360519,r,99.0,2,0.0
41,2459638.8852894,20.0471382141113,0.213263005018234,r,99.0,2,0.0
42,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
43,2459638.8852894,20.0471382141113,0.213263005018234,r,99.0,2,0.0
44,2459636.8928009,20.0417995452881,0.22961300611496,i,99.0,2,0.0
