,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459637.0472685,17.6623439788818,0.0892872884869576,r,99.0,1,0.0
1,2459637.0497338,17.7599277496338,0.111983492970467,r,99.0,1,0.0
2,2459637.0522106,17.703800201416,0.104726001620293,r,99.0,1,0.0
3,2459637.0546875,17.6868991851807,0.136147007346153,r,99.0,1,0.0
4,2459637.0571528,17.5858993530273,0.12754599750042,r,99.0,1,0.0
5,2459638.0568634,17.1821002960205,0.245542004704475,r,99.0,1,0.0
6,2459639.0478009,17.7772998809814,0.10614900290966,r,99.0,1,0.0
7,2459639.0502662,17.8540000915527,0.101782001554966,r,99.0,1,0.0
8,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
9,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
10,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
11,2459637.0472685,17.6623439788818,0.0892872884869576,r,99.0,1,0.0
12,2459637.0497338,17.7599277496338,0.111983492970467,r,99.0,1,0.0
13,2459637.0522106,17.703800201416,0.104726001620293,r,99.0,1,0.0
14,2459637.0546875,17.6868991851807,0.136147007346153,r,99.0,1,0.0
15,2459637.0571528,17.5858993530273,0.12754599750042,r,99.0,1,0.0
16,2459638.0568634,17.1821002960205,0.245542004704475,r,99.0,1,0.0
17,2459639.0502662,17.8540000915527,0.101782001554966,r,99.0,1,0.0
18,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
19,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
20,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
21,2459637.0472685,17.6623439788818,0.0892872884869576,r,99.0,1,0.0
22,2459637.0497338,17.7599277496338,0.111983492970467,r,99.0,1,0.0
23,2459637.0522106,17.703800201416,0.104726001620293,r,99.0,1,0.0
24,2459637.0546875,17.6868991851807,0.136147007346153,r,99.0,1,0.0
25,2459637.0571528,17.5858993530273,0.12754599750042,r,99.0,1,0.0
26,2459638.0568634,17.1821002960205,0.245542004704475,r,99.0,1,0.0
27,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
28,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
29,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
30,2459637.0472685,17.6623439788818,0.0892872884869576,r,99.0,1,0.0
31,2459637.0522106,17.703800201416,0.104726001620293,r,99.0,1,0.0
32,2459637.0546875,17.6868991851807,0.136147007346153,r,99.0,1,0.0
33,2459637.0571528,17.5858993530273,0.12754599750042,r,99.0,1,0.0
34,2459638.0568634,17.1821002960205,0.245542004704475,r,99.0,1,0.0
35,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
36,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
37,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
38,2459637.0472685,17.6623439788818,0.0892872884869576,r,99.0,1,0.0
39,2459637.0522106,17.703800201416,0.104726001620293,r,99.0,1,0.0
40,2459637.0546875,17.6868991851807,0.136147007346153,r,99.0,1,0.0
41,2459638.0568634,17.1821002960205,0.245542004704475,r,99.0,1,0.0
42,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
43,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
44,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
45,2459637.0522106,17.703800201416,0.104726001620293,r,99.0,1,0.0
46,2459637.0546875,17.6868991851807,0.136147007346153,r,99.0,1,0.0
47,2459638.0568634,17.1821002960205,0.245542004704475,r,99.0,1,0.0
48,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
49,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
50,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
51,2459637.0522106,17.703800201416,0.104726001620293,r,99.0,1,0.0
52,2459638.0568634,17.1821002960205,0.245542004704475,r,99.0,1,0.0
53,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
54,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
55,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
56,2459638.0568634,17.1821002960205,0.245542004704475,r,99.0,1,0.0
57,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
58,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
59,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
60,2459639.0527431,17.8642997741699,0.11472000181675,r,99.0,1,0.0
61,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
62,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
63,2459639.0552199,17.7604389190674,0.108234368264675,r,99.0,1,0.0
64,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
65,2459639.0576968,17.747631072998,0.0965591967105865,r,99.0,1,0.0
