,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459636.9313426,19.6532707214355,0.173554509878159,i,99.0,2,0.0
5,2459637.8652662,20.0820999145508,0.240298002958298,g,99.0,1,0.0
6,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
11,2459639.8075926,19.3911571502686,0.186076194047928,r,99.0,1,0.0
12,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
14,2459636.9313426,19.6532707214355,0.173554509878159,i,99.0,2,0.0
19,2459637.8652662,20.0820999145508,0.240298002958298,g,99.0,1,0.0
20,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
25,2459639.8075926,19.3911571502686,0.186076194047928,r,99.0,1,0.0
26,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
27,2459636.9313426,19.6532707214355,0.173554509878159,i,99.0,2,0.0
32,2459637.8652662,20.0820999145508,0.240298002958298,g,99.0,1,0.0
33,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
38,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
39,2459636.9313426,19.6532707214355,0.173554509878159,i,99.0,2,0.0
43,2459637.8652662,20.0820999145508,0.240298002958298,g,99.0,1,0.0
44,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
49,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
50,2459636.9313426,19.6532707214355,0.173554509878159,i,99.0,2,0.0
53,2459637.8652662,20.0820999145508,0.240298002958298,g,99.0,1,0.0
54,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
59,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
62,2459637.8652662,20.0820999145508,0.240298002958298,g,99.0,1,0.0
63,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
68,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
70,2459637.8652662,20.0820999145508,0.240298002958298,g,99.0,1,0.0
71,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
76,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
77,2459637.8652662,20.0820999145508,0.240298002958298,g,99.0,1,0.0
78,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
83,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
84,2459637.9355787,19.5859756469727,0.136975511908531,r,99.0,1,0.0
89,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
94,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
98,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
101,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
103,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
104,2459639.8221644,19.8800430297852,0.192584276199341,g,99.0,1,0.0
