,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
1,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
6,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
8,2459637.8841088,20.2321281433105,0.197762578725815,g,99.0,1,0.0
10,2459637.9140625,20.2070999145508,0.255878001451492,r,99.0,1,0.0
17,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
19,2459639.8952315,19.9578475952148,0.169011935591698,g,99.0,1,0.0
21,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
22,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
23,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
28,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
29,2459637.8841088,20.2321281433105,0.197762578725815,g,99.0,1,0.0
31,2459637.9140625,20.2070999145508,0.255878001451492,r,99.0,1,0.0
38,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
40,2459639.8952315,19.9578475952148,0.169011935591698,g,99.0,1,0.0
42,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
43,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
44,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
49,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
51,2459637.9140625,20.2070999145508,0.255878001451492,r,99.0,1,0.0
58,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
60,2459639.8952315,19.9578475952148,0.169011935591698,g,99.0,1,0.0
62,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
63,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
64,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
69,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
70,2459637.9140625,20.2070999145508,0.255878001451492,r,99.0,1,0.0
77,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
79,2459639.8952315,19.9578475952148,0.169011935591698,g,99.0,1,0.0
81,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
82,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
83,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
88,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
95,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
97,2459639.8952315,19.9578475952148,0.169011935591698,g,99.0,1,0.0
99,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
100,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
101,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
106,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
113,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
114,2459639.8952315,19.9578475952148,0.169011935591698,g,99.0,1,0.0
116,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
117,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
118,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
123,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
129,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
130,2459639.8952315,19.9578475952148,0.169011935591698,g,99.0,1,0.0
132,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
133,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
134,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
139,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
145,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
147,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
148,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
149,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
154,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
160,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
161,2459639.9540856,20.0260105133057,0.203986182808876,r,99.0,1,0.0
162,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
163,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
168,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
174,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
175,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
176,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
180,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
186,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
187,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
188,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
192,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
197,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
198,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
199,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
203,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
207,2459639.8119213,19.971399307251,0.240476995706558,r,99.0,1,0.0
208,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
209,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
213,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
217,2459636.9251042,19.8866996765137,0.24227599799633,i,99.0,2,0.0
218,2459636.9255787,20.0909004211426,0.238382995128632,i,99.0,2,0.0
222,2459637.8816088,20.3941993713379,0.356541991233826,g,99.0,1,0.0
