,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
1,2459636.7423727,20.8672008514404,0.338189989328384,g,99.0,2,0.0
2,2459636.8440972,20.5132999420166,0.289014995098114,r,99.0,2,0.0
3,2459636.9073727,20.3675994873047,0.236944004893303,r,99.0,1,0.0
4,2459636.9083333,20.4230995178223,0.227905005216599,r,99.0,2,0.0
5,2459636.9477546,20.5179996490479,0.251771003007889,g,99.0,1,0.0
6,2459637.7240162,20.3257007598877,0.252741008996964,g,99.0,2,0.0
7,2459637.8321181,20.2156963348389,0.183130085468292,r,99.0,2,0.0
8,2459637.8940162,20.6814994812012,0.319573998451233,g,99.0,2,0.0
9,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
10,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
11,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
12,2459636.7423727,20.8672008514404,0.338189989328384,g,99.0,2,0.0
13,2459636.8440972,20.5132999420166,0.289014995098114,r,99.0,2,0.0
14,2459636.9073727,20.3675994873047,0.236944004893303,r,99.0,1,0.0
15,2459636.9477546,20.5179996490479,0.251771003007889,g,99.0,1,0.0
16,2459637.7240162,20.3257007598877,0.252741008996964,g,99.0,2,0.0
17,2459637.8321181,20.2156963348389,0.183130085468292,r,99.0,2,0.0
18,2459637.8940162,20.6814994812012,0.319573998451233,g,99.0,2,0.0
19,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
20,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
21,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
22,2459636.7423727,20.8672008514404,0.338189989328384,g,99.0,2,0.0
23,2459636.9073727,20.3675994873047,0.236944004893303,r,99.0,1,0.0
24,2459636.9477546,20.5179996490479,0.251771003007889,g,99.0,1,0.0
25,2459637.7240162,20.3257007598877,0.252741008996964,g,99.0,2,0.0
26,2459637.8321181,20.2156963348389,0.183130085468292,r,99.0,2,0.0
27,2459637.8940162,20.6814994812012,0.319573998451233,g,99.0,2,0.0
28,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
29,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
30,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
31,2459636.9073727,20.3675994873047,0.236944004893303,r,99.0,1,0.0
32,2459636.9477546,20.5179996490479,0.251771003007889,g,99.0,1,0.0
33,2459637.7240162,20.3257007598877,0.252741008996964,g,99.0,2,0.0
34,2459637.8321181,20.2156963348389,0.183130085468292,r,99.0,2,0.0
35,2459637.8940162,20.6814994812012,0.319573998451233,g,99.0,2,0.0
36,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
37,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
38,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
39,2459636.9477546,20.5179996490479,0.251771003007889,g,99.0,1,0.0
40,2459637.7240162,20.3257007598877,0.252741008996964,g,99.0,2,0.0
41,2459637.8321181,20.2156963348389,0.183130085468292,r,99.0,2,0.0
42,2459637.8940162,20.6814994812012,0.319573998451233,g,99.0,2,0.0
43,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
44,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
45,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
46,2459637.7240162,20.3257007598877,0.252741008996964,g,99.0,2,0.0
47,2459637.8321181,20.2156963348389,0.183130085468292,r,99.0,2,0.0
48,2459637.8940162,20.6814994812012,0.319573998451233,g,99.0,2,0.0
49,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
50,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
51,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
52,2459637.8321181,20.2156963348389,0.183130085468292,r,99.0,2,0.0
53,2459637.8940162,20.6814994812012,0.319573998451233,g,99.0,2,0.0
54,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
55,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
56,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
57,2459637.8940162,20.6814994812012,0.319573998451233,g,99.0,2,0.0
58,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
59,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
60,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
61,2459637.9031134,20.4137992858887,0.298184007406235,r,99.0,2,0.0
62,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
63,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
64,2459638.8936343,20.2445888519287,0.196989148855209,r,99.0,2,0.0
65,2459630.9862847,20.2525005340576,0.24804100394249,r,99.0,2,0.0
