,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459636.716713,19.3340167999268,0.117234118282795,g,99.0,2,0.0
1,2459636.8421181,19.4669704437256,0.137930154800415,r,99.0,2,0.0
2,2459636.9458218,19.4180583953857,0.121288388967514,g,99.0,1,0.0
3,2459636.9708565,19.3444843292236,0.123843185603619,r,99.0,1,0.0
4,2459636.9907639,19.2901000976562,0.140637457370758,g,99.0,2,0.0
5,2459637.0279745,19.2654762268066,0.159868583083153,r,99.0,2,0.0
6,2459637.8258681,19.3162021636963,0.1456268876791,r,99.0,2,0.0
7,2459637.9847569,19.2010726928711,0.140508055686951,g,99.0,2,0.0
8,2459638.9087616,19.3371028900146,0.138613328337669,g,99.0,2,0.0
9,2459638.9432639,19.2787132263184,0.121849499642849,g,99.0,2,0.0
10,2459638.9745833,19.2641983032227,0.135473251342773,r,99.0,2,0.0
11,2459638.985787,19.3114986419678,0.133133307099342,r,99.0,2,0.0
12,2459639.7223843,19.5065994262695,0.219463005661964,i,99.0,2,0.0
13,2459639.7413542,19.2799129486084,0.158625066280365,r,99.0,1,0.0
14,2459639.7423495,19.2150650024414,0.150763317942619,r,99.0,2,0.0
15,2459639.7913657,19.2982654571533,0.191164419054985,g,99.0,1,0.0
16,2459639.8182176,19.532169342041,0.152598559856415,g,99.0,2,0.0
17,2459639.997419,19.019193649292,0.148130893707275,r,99.0,2,0.0
18,2459640.8535648,19.2993583679199,0.103456027805805,g,99.0,2,0.0
19,2459640.8875694,19.337085723877,0.109792664647102,r,99.0,2,0.0
20,2459640.9057407,19.2701759338379,0.0816847011446953,r,99.0,2,0.0
21,2459640.9789468,19.3289623260498,0.120839901268482,g,99.0,2,0.0
22,2459636.716713,19.3340167999268,0.117234118282795,g,99.0,2,0.0
23,2459636.8421181,19.4669704437256,0.137930154800415,r,99.0,2,0.0
24,2459636.9458218,19.4180583953857,0.121288388967514,g,99.0,1,0.0
25,2459636.9708565,19.3444843292236,0.123843185603619,r,99.0,1,0.0
26,2459636.9907639,19.2901000976562,0.140637457370758,g,99.0,2,0.0
27,2459637.0279745,19.2654762268066,0.159868583083153,r,99.0,2,0.0
28,2459637.8258681,19.3162021636963,0.1456268876791,r,99.0,2,0.0
29,2459637.9847569,19.2010726928711,0.140508055686951,g,99.0,2,0.0
30,2459638.9087616,19.3371028900146,0.138613328337669,g,99.0,2,0.0
31,2459638.9432639,19.2787132263184,0.121849499642849,g,99.0,2,0.0
32,2459638.9745833,19.2641983032227,0.135473251342773,r,99.0,2,0.0
33,2459639.7223843,19.5065994262695,0.219463005661964,i,99.0,2,0.0
34,2459639.7413542,19.2799129486084,0.158625066280365,r,99.0,1,0.0
