,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459636.7394792,20.7329998016357,0.300078988075256,g,99.0,1,0.0
1,2459636.9487269,20.6765003204346,0.235379993915558,g,99.0,2,0.0
2,2459639.9745139,20.0205993652344,0.295547008514404,r,99.0,2,0.0
3,2459640.7500579,20.715015411377,0.201167777180672,r,99.0,2,0.0
4,2459636.9487269,20.6765003204346,0.235379993915558,g,99.0,2,0.0
5,2459639.9745139,20.0205993652344,0.295547008514404,r,99.0,2,0.0
6,2459640.7500579,20.715015411377,0.201167777180672,r,99.0,2,0.0
7,2459639.9745139,20.0205993652344,0.295547008514404,r,99.0,2,0.0
8,2459640.7500579,20.715015411377,0.201167777180672,r,99.0,2,0.0
9,2459640.7500579,20.715015411377,0.201167777180672,r,99.0,2,0.0
