,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459637.7168056,20.4377002716064,0.291518986225128,g,99.0,2,0.0
1,2459639.7893981,19.9668006896973,0.27437099814415,g,99.0,2,0.0
2,2459640.8115394,20.5492992401123,0.261846005916595,g,99.0,2,0.0
3,2459640.8215509,20.3409824371338,0.20532152056694,r,99.0,2,0.0
4,2459640.9037731,20.4347515106201,0.200926929712296,r,99.0,2,0.0
5,2459639.7893981,19.9668006896973,0.27437099814415,g,99.0,2,0.0
6,2459640.8115394,20.5492992401123,0.261846005916595,g,99.0,2,0.0
7,2459640.8215509,20.3409824371338,0.20532152056694,r,99.0,2,0.0
8,2459640.9037731,20.4347515106201,0.200926929712296,r,99.0,2,0.0
9,2459640.8115394,20.5492992401123,0.261846005916595,g,99.0,2,0.0
10,2459640.8215509,20.3409824371338,0.20532152056694,r,99.0,2,0.0
11,2459640.9037731,20.4347515106201,0.200926929712296,r,99.0,2,0.0
12,2459640.8215509,20.3409824371338,0.20532152056694,r,99.0,2,0.0
13,2459640.9037731,20.4347515106201,0.200926929712296,r,99.0,2,0.0
14,2459640.9037731,20.4347515106201,0.200926929712296,r,99.0,2,0.0
