,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459670.8776273,19.9556064605713,0.143035009503365,r,99.0,2,0.0
1,2459671.8186343,20.2922554016113,0.173748269677162,r,99.0,2,0.0
2,2459671.8726273,20.2438869476318,0.194002836942673,r,99.0,1,0.0
3,2459671.9155208,20.2487506866455,0.191887974739075,g,99.0,2,0.0
4,2459671.9200347,20.1072864532471,0.147491171956062,g,99.0,1,0.0
5,2459671.9472801,20.4325656890869,0.197226569056511,g,99.0,2,0.0
6,2459670.8776273,19.9556064605713,0.143035009503365,r,99.0,2,0.0
7,2459671.8186343,20.2922554016113,0.173748269677162,r,99.0,2,0.0
8,2459671.9155208,20.2487506866455,0.191887974739075,g,99.0,2,0.0
9,2459671.9200347,20.1072864532471,0.147491171956062,g,99.0,1,0.0
10,2459671.9472801,20.4325656890869,0.197226569056511,g,99.0,2,0.0
11,2459671.8186343,20.2922554016113,0.173748269677162,r,99.0,2,0.0
12,2459671.9155208,20.2487506866455,0.191887974739075,g,99.0,2,0.0
13,2459671.9200347,20.1072864532471,0.147491171956062,g,99.0,1,0.0
14,2459671.9472801,20.4325656890869,0.197226569056511,g,99.0,2,0.0
15,2459671.8186343,20.2922554016113,0.173748269677162,r,99.0,2,0.0
16,2459671.9155208,20.2487506866455,0.191887974739075,g,99.0,2,0.0
17,2459671.9472801,20.4325656890869,0.197226569056511,g,99.0,2,0.0
18,2459671.9155208,20.2487506866455,0.191887974739075,g,99.0,2,0.0
19,2459671.9472801,20.4325656890869,0.197226569056511,g,99.0,2,0.0
20,2459671.9155208,20.2487506866455,0.191887974739075,g,99.0,2,0.0
