,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459671.7880093,19.5244636535645,0.130399212241173,g,99.0,1,0.0
1,2459671.8453009,19.6545543670654,0.124013103544712,r,99.0,1,0.0
2,2459671.862037,19.6024856567383,0.113755151629448,r,99.0,1,0.0
3,2459671.9267593,19.6169376373291,0.103905461728573,g,99.0,1,0.0
4,2459672.7865046,19.7094078063965,0.194010525941849,i,99.0,2,0.0
5,2459671.7880093,19.5244636535645,0.130399212241173,g,99.0,1,0.0
6,2459671.8453009,19.6545543670654,0.124013103544712,r,99.0,1,0.0
7,2459671.9267593,19.6169376373291,0.103905461728573,g,99.0,1,0.0
8,2459672.7865046,19.7094078063965,0.194010525941849,i,99.0,2,0.0
9,2459671.8453009,19.6545543670654,0.124013103544712,r,99.0,1,0.0
10,2459671.9267593,19.6169376373291,0.103905461728573,g,99.0,1,0.0
11,2459672.7865046,19.7094078063965,0.194010525941849,i,99.0,2,0.0
12,2459671.8453009,19.6545543670654,0.124013103544712,r,99.0,1,0.0
13,2459672.7865046,19.7094078063965,0.194010525941849,i,99.0,2,0.0
14,2459671.8453009,19.6545543670654,0.124013103544712,r,99.0,1,0.0
