,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459670.8805556,19.8542346954346,0.161240443587303,r,99.0,2,0.0
1,2459670.9873843,20.2504997253418,0.275447994470596,g,99.0,2,0.0
2,2459671.84875,19.7432670593262,0.137577444314957,r,99.0,2,0.0
3,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
4,2459671.884919,19.9764041900635,0.208318188786507,i,99.0,2,0.0
5,2459671.934456,20.6826992034912,0.240430995821953,g,99.0,1,0.0
6,2459671.9354167,20.4615459442139,0.205336838960648,g,99.0,2,0.0
7,2459671.9661458,20.6744995117188,0.260904014110565,g,99.0,2,0.0
8,2459671.9926852,19.9250564575195,0.192524433135986,r,99.0,2,0.0
9,2459670.8805556,19.8542346954346,0.161240443587303,r,99.0,2,0.0
10,2459670.9873843,20.2504997253418,0.275447994470596,g,99.0,2,0.0
11,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
12,2459671.884919,19.9764041900635,0.208318188786507,i,99.0,2,0.0
13,2459671.934456,20.6826992034912,0.240430995821953,g,99.0,1,0.0
14,2459671.9354167,20.4615459442139,0.205336838960648,g,99.0,2,0.0
15,2459671.9661458,20.6744995117188,0.260904014110565,g,99.0,2,0.0
16,2459671.9926852,19.9250564575195,0.192524433135986,r,99.0,2,0.0
17,2459670.9873843,20.2504997253418,0.275447994470596,g,99.0,2,0.0
18,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
19,2459671.884919,19.9764041900635,0.208318188786507,i,99.0,2,0.0
20,2459671.934456,20.6826992034912,0.240430995821953,g,99.0,1,0.0
21,2459671.9354167,20.4615459442139,0.205336838960648,g,99.0,2,0.0
22,2459671.9661458,20.6744995117188,0.260904014110565,g,99.0,2,0.0
23,2459671.9926852,19.9250564575195,0.192524433135986,r,99.0,2,0.0
24,2459670.9873843,20.2504997253418,0.275447994470596,g,99.0,2,0.0
25,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
26,2459671.934456,20.6826992034912,0.240430995821953,g,99.0,1,0.0
27,2459671.9354167,20.4615459442139,0.205336838960648,g,99.0,2,0.0
28,2459671.9661458,20.6744995117188,0.260904014110565,g,99.0,2,0.0
29,2459671.9926852,19.9250564575195,0.192524433135986,r,99.0,2,0.0
30,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
31,2459671.934456,20.6826992034912,0.240430995821953,g,99.0,1,0.0
32,2459671.9354167,20.4615459442139,0.205336838960648,g,99.0,2,0.0
33,2459671.9661458,20.6744995117188,0.260904014110565,g,99.0,2,0.0
34,2459671.9926852,19.9250564575195,0.192524433135986,r,99.0,2,0.0
35,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
36,2459671.9354167,20.4615459442139,0.205336838960648,g,99.0,2,0.0
37,2459671.9661458,20.6744995117188,0.260904014110565,g,99.0,2,0.0
38,2459671.9926852,19.9250564575195,0.192524433135986,r,99.0,2,0.0
39,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
40,2459671.9661458,20.6744995117188,0.260904014110565,g,99.0,2,0.0
41,2459671.9926852,19.9250564575195,0.192524433135986,r,99.0,2,0.0
42,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
43,2459671.9926852,19.9250564575195,0.192524433135986,r,99.0,2,0.0
44,2459671.8678009,19.7410106658936,0.12869730591774,r,99.0,1,0.0
