,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459670.8603472,20.2878150939941,0.204331398010254,r,99.0,2,0.0
1,2459671.8482407,20.0587596893311,0.205181822180748,r,99.0,1,0.0
2,2459671.8497222,20.3606071472168,0.205805838108063,r,99.0,2,0.0
3,2459671.9315625,20.4819507598877,0.216908529400826,g,99.0,2,0.0
4,2459671.9325231,20.6796016693115,0.184100568294525,g,99.0,1,0.0
5,2459671.9671181,20.6569995880127,0.262865990400314,g,99.0,2,0.0
6,2459671.9912037,20.3165130615234,0.207348540425301,r,99.0,2,0.0
7,2459670.8603472,20.2878150939941,0.204331398010254,r,99.0,2,0.0
8,2459671.8482407,20.0587596893311,0.205181822180748,r,99.0,1,0.0
9,2459671.9315625,20.4819507598877,0.216908529400826,g,99.0,2,0.0
10,2459671.9325231,20.6796016693115,0.184100568294525,g,99.0,1,0.0
11,2459671.9671181,20.6569995880127,0.262865990400314,g,99.0,2,0.0
12,2459671.9912037,20.3165130615234,0.207348540425301,r,99.0,2,0.0
13,2459671.8482407,20.0587596893311,0.205181822180748,r,99.0,1,0.0
14,2459671.9315625,20.4819507598877,0.216908529400826,g,99.0,2,0.0
15,2459671.9325231,20.6796016693115,0.184100568294525,g,99.0,1,0.0
16,2459671.9671181,20.6569995880127,0.262865990400314,g,99.0,2,0.0
17,2459671.9912037,20.3165130615234,0.207348540425301,r,99.0,2,0.0
18,2459671.8482407,20.0587596893311,0.205181822180748,r,99.0,1,0.0
19,2459671.9325231,20.6796016693115,0.184100568294525,g,99.0,1,0.0
20,2459671.9671181,20.6569995880127,0.262865990400314,g,99.0,2,0.0
21,2459671.9912037,20.3165130615234,0.207348540425301,r,99.0,2,0.0
22,2459671.9325231,20.6796016693115,0.184100568294525,g,99.0,1,0.0
23,2459671.9671181,20.6569995880127,0.262865990400314,g,99.0,2,0.0
24,2459671.9912037,20.3165130615234,0.207348540425301,r,99.0,2,0.0
25,2459671.9325231,20.6796016693115,0.184100568294525,g,99.0,1,0.0
26,2459671.9912037,20.3165130615234,0.207348540425301,r,99.0,2,0.0
27,2459671.9325231,20.6796016693115,0.184100568294525,g,99.0,1,0.0
