,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459671.0186574,19.1664848327637,0.165864691138268,r,99.0,1,0.0
1,2459671.0210648,19.341100692749,0.255162000656128,r,99.0,1,0.0
2,2459671.0234722,19.3612995147705,0.244855001568794,r,99.0,1,0.0
3,2459672.0165394,19.1400184631348,0.167269885540009,r,99.0,1,0.0
4,2459672.0213542,19.1215324401855,0.18258661031723,r,99.0,1,0.0
5,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
6,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
7,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
8,2459675.0158449,19.2512664794922,0.201020300388336,r,99.0,1,0.0
9,2459675.0183102,19.197603225708,0.204392537474632,r,99.0,1,0.0
10,2459675.0207639,19.0918464660645,0.199587494134903,r,99.0,1,0.0
11,2459671.0186574,19.1664848327637,0.165864691138268,r,99.0,1,0.0
12,2459671.0210648,19.341100692749,0.255162000656128,r,99.0,1,0.0
13,2459671.0234722,19.3612995147705,0.244855001568794,r,99.0,1,0.0
14,2459672.0165394,19.1400184631348,0.167269885540009,r,99.0,1,0.0
15,2459672.0213542,19.1215324401855,0.18258661031723,r,99.0,1,0.0
16,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
17,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
18,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
19,2459675.0183102,19.197603225708,0.204392537474632,r,99.0,1,0.0
20,2459675.0207639,19.0918464660645,0.199587494134903,r,99.0,1,0.0
21,2459671.0186574,19.1664848327637,0.165864691138268,r,99.0,1,0.0
22,2459671.0210648,19.341100692749,0.255162000656128,r,99.0,1,0.0
23,2459671.0234722,19.3612995147705,0.244855001568794,r,99.0,1,0.0
24,2459672.0165394,19.1400184631348,0.167269885540009,r,99.0,1,0.0
25,2459672.0213542,19.1215324401855,0.18258661031723,r,99.0,1,0.0
26,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
27,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
28,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
29,2459675.0207639,19.0918464660645,0.199587494134903,r,99.0,1,0.0
30,2459671.0186574,19.1664848327637,0.165864691138268,r,99.0,1,0.0
31,2459671.0210648,19.341100692749,0.255162000656128,r,99.0,1,0.0
32,2459671.0234722,19.3612995147705,0.244855001568794,r,99.0,1,0.0
33,2459672.0165394,19.1400184631348,0.167269885540009,r,99.0,1,0.0
34,2459672.0213542,19.1215324401855,0.18258661031723,r,99.0,1,0.0
35,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
36,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
37,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
38,2459671.0186574,19.1664848327637,0.165864691138268,r,99.0,1,0.0
39,2459671.0210648,19.341100692749,0.255162000656128,r,99.0,1,0.0
40,2459672.0165394,19.1400184631348,0.167269885540009,r,99.0,1,0.0
41,2459672.0213542,19.1215324401855,0.18258661031723,r,99.0,1,0.0
42,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
43,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
44,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
45,2459671.0210648,19.341100692749,0.255162000656128,r,99.0,1,0.0
46,2459672.0165394,19.1400184631348,0.167269885540009,r,99.0,1,0.0
47,2459672.0213542,19.1215324401855,0.18258661031723,r,99.0,1,0.0
48,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
49,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
50,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
51,2459672.0165394,19.1400184631348,0.167269885540009,r,99.0,1,0.0
52,2459672.0213542,19.1215324401855,0.18258661031723,r,99.0,1,0.0
53,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
54,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
55,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
56,2459672.0213542,19.1215324401855,0.18258661031723,r,99.0,1,0.0
57,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
58,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
59,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
60,2459674.0156366,19.1410999298096,0.245084002614021,r,99.0,1,0.0
61,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
62,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
63,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
64,2459675.0133796,19.2061462402344,0.169478178024292,r,99.0,1,0.0
65,2459674.0205556,18.6805992126465,0.269356995820999,r,99.0,1,0.0
