,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459674.0126968,18.9731006622314,0.305505990982056,r,99.0,1,0.0
1,2459674.015162,19.015100479126,0.335568010807037,r,99.0,1,0.0
2,2459674.020081,18.6021995544434,0.268707990646362,r,99.0,1,0.0
3,2459675.0128935,19.2108955383301,0.21618327498436,r,99.0,1,0.0
4,2459675.0153588,19.2587604522705,0.208212658762932,r,99.0,1,0.0
5,2459675.0178241,19.1795253753662,0.176530107855797,r,99.0,1,0.0
6,2459674.0126968,18.9731006622314,0.305505990982056,r,99.0,1,0.0
7,2459674.015162,19.015100479126,0.335568010807037,r,99.0,1,0.0
8,2459675.0128935,19.2108955383301,0.21618327498436,r,99.0,1,0.0
9,2459675.0153588,19.2587604522705,0.208212658762932,r,99.0,1,0.0
10,2459675.0178241,19.1795253753662,0.176530107855797,r,99.0,1,0.0
11,2459674.0126968,18.9731006622314,0.305505990982056,r,99.0,1,0.0
12,2459674.015162,19.015100479126,0.335568010807037,r,99.0,1,0.0
13,2459675.0128935,19.2108955383301,0.21618327498436,r,99.0,1,0.0
14,2459675.0178241,19.1795253753662,0.176530107855797,r,99.0,1,0.0
15,2459674.0126968,18.9731006622314,0.305505990982056,r,99.0,1,0.0
16,2459674.015162,19.015100479126,0.335568010807037,r,99.0,1,0.0
17,2459675.0128935,19.2108955383301,0.21618327498436,r,99.0,1,0.0
18,2459674.015162,19.015100479126,0.335568010807037,r,99.0,1,0.0
19,2459675.0128935,19.2108955383301,0.21618327498436,r,99.0,1,0.0
20,2459674.015162,19.015100479126,0.335568010807037,r,99.0,1,0.0
