,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459670.8608333,20.4740371704102,0.180423527956009,r,99.0,2,0.0
1,2459671.8697454,20.4750900268555,0.180860370397568,r,99.0,1,0.0
2,2459671.8687847,20.5305995941162,0.236267998814583,r,99.0,2,0.0
3,2459671.9097106,20.8665008544922,0.247483000159264,g,99.0,2,0.0
4,2459672.6654514,20.9857006072998,0.224715992808342,g,99.0,2,0.0
5,2459672.8261343,20.7922992706299,0.240642994642258,g,99.0,2,0.0
6,2459673.796169,20.440673828125,0.208161324262619,r,99.0,2,0.0
7,2459674.8303009,20.5029582977295,0.19695320725441,r,99.0,1,0.0
8,2459673.8254514,20.756799697876,0.253834009170532,g,99.0,2,0.0
9,2459673.8399653,20.8159008026123,0.305054008960724,g,99.0,2,0.0
10,2459674.8698843,21.0009994506836,0.3002690076828,g,99.0,2,0.0
11,2459674.9091667,20.9752006530762,0.329982995986938,g,99.0,2,0.0
12,2459674.9150347,20.7033996582031,0.263765007257462,g,99.0,1,0.0
13,2459675.6620255,21.0501003265381,0.385802000761032,g,99.0,2,0.0
14,2459675.7180903,20.494800567627,0.255326986312866,r,99.0,2,0.0
15,2459675.8425579,20.4424381256104,0.199510499835014,r,99.0,2,0.0
16,2459670.8608333,20.4740371704102,0.180423527956009,r,99.0,2,0.0
17,2459671.8697454,20.4750900268555,0.180860370397568,r,99.0,1,0.0
18,2459671.8687847,20.5305995941162,0.236267998814583,r,99.0,2,0.0
19,2459671.9097106,20.8665008544922,0.247483000159264,g,99.0,2,0.0
20,2459672.6654514,20.9857006072998,0.224715992808342,g,99.0,2,0.0
21,2459672.8261343,20.7922992706299,0.240642994642258,g,99.0,2,0.0
22,2459673.796169,20.440673828125,0.208161324262619,r,99.0,2,0.0
23,2459674.8303009,20.5029582977295,0.19695320725441,r,99.0,1,0.0
24,2459673.8254514,20.756799697876,0.253834009170532,g,99.0,2,0.0
25,2459673.8399653,20.8159008026123,0.305054008960724,g,99.0,2,0.0
26,2459674.8698843,21.0009994506836,0.3002690076828,g,99.0,2,0.0
27,2459674.9150347,20.7033996582031,0.263765007257462,g,99.0,1,0.0
28,2459675.6620255,21.0501003265381,0.385802000761032,g,99.0,2,0.0
29,2459675.7180903,20.494800567627,0.255326986312866,r,99.0,2,0.0
30,2459675.8425579,20.4424381256104,0.199510499835014,r,99.0,2,0.0
31,2459670.8608333,20.4740371704102,0.180423527956009,r,99.0,2,0.0
32,2459671.8697454,20.4750900268555,0.180860370397568,r,99.0,1,0.0
33,2459671.8687847,20.5305995941162,0.236267998814583,r,99.0,2,0.0
