,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459670.9006597,20.0738945007324,0.140339151024818,g,99.0,2,0.0
1,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
2,2459671.916956,19.8653564453125,0.159697517752647,g,99.0,2,0.0
3,2459671.9487153,19.7448062896729,0.110156901180744,g,99.0,2,0.0
4,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
5,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
6,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
7,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
8,2459674.9010301,19.7368488311768,0.182930827140808,g,99.0,2,0.0
9,2459674.9451389,19.7248706817627,0.167241230607033,r,99.0,2,0.0
10,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
11,2459675.8198843,19.739164352417,0.144440829753876,g,99.0,1,0.0
12,2459675.879919,19.7982311248779,0.15704008936882,g,99.0,2,0.0
13,2459675.9050347,19.6539287567139,0.157791346311569,r,99.0,2,0.0
14,2459670.9006597,20.0738945007324,0.140339151024818,g,99.0,2,0.0
15,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
16,2459671.916956,19.8653564453125,0.159697517752647,g,99.0,2,0.0
17,2459671.9487153,19.7448062896729,0.110156901180744,g,99.0,2,0.0
18,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
19,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
20,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
21,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
22,2459674.9451389,19.7248706817627,0.167241230607033,r,99.0,2,0.0
23,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
24,2459675.8198843,19.739164352417,0.144440829753876,g,99.0,1,0.0
25,2459675.879919,19.7982311248779,0.15704008936882,g,99.0,2,0.0
26,2459675.9050347,19.6539287567139,0.157791346311569,r,99.0,2,0.0
27,2459670.9006597,20.0738945007324,0.140339151024818,g,99.0,2,0.0
28,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
29,2459671.916956,19.8653564453125,0.159697517752647,g,99.0,2,0.0
30,2459671.9487153,19.7448062896729,0.110156901180744,g,99.0,2,0.0
31,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
32,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
33,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
34,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
35,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
36,2459675.8198843,19.739164352417,0.144440829753876,g,99.0,1,0.0
37,2459675.879919,19.7982311248779,0.15704008936882,g,99.0,2,0.0
38,2459675.9050347,19.6539287567139,0.157791346311569,r,99.0,2,0.0
39,2459670.9006597,20.0738945007324,0.140339151024818,g,99.0,2,0.0
40,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
41,2459671.916956,19.8653564453125,0.159697517752647,g,99.0,2,0.0
42,2459671.9487153,19.7448062896729,0.110156901180744,g,99.0,2,0.0
43,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
44,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
45,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
46,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
47,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
48,2459675.879919,19.7982311248779,0.15704008936882,g,99.0,2,0.0
49,2459675.9050347,19.6539287567139,0.157791346311569,r,99.0,2,0.0
50,2459670.9006597,20.0738945007324,0.140339151024818,g,99.0,2,0.0
51,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
52,2459671.916956,19.8653564453125,0.159697517752647,g,99.0,2,0.0
53,2459671.9487153,19.7448062896729,0.110156901180744,g,99.0,2,0.0
54,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
55,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
56,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
57,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
58,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
59,2459675.9050347,19.6539287567139,0.157791346311569,r,99.0,2,0.0
60,2459670.9006597,20.0738945007324,0.140339151024818,g,99.0,2,0.0
61,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
62,2459671.916956,19.8653564453125,0.159697517752647,g,99.0,2,0.0
63,2459671.9487153,19.7448062896729,0.110156901180744,g,99.0,2,0.0
64,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
65,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
66,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
67,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
68,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
69,2459670.9006597,20.0738945007324,0.140339151024818,g,99.0,2,0.0
70,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
71,2459671.9487153,19.7448062896729,0.110156901180744,g,99.0,2,0.0
72,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
73,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
74,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
75,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
76,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
77,2459670.9006597,20.0738945007324,0.140339151024818,g,99.0,2,0.0
78,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
79,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
80,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
81,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
82,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
83,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
84,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
85,2459671.986875,19.9079265594482,0.174704685807228,r,99.0,2,0.0
86,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
87,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
88,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
89,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
90,2459671.8537269,20.0954570770264,0.159675985574722,r,99.0,2,0.0
91,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
92,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
93,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
94,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
95,2459672.8003704,19.8292999267578,0.134857639670372,g,99.0,1,0.0
96,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
97,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
98,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
99,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
100,2459674.8783912,19.7274188995361,0.150698870420456,g,99.0,2,0.0
101,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
102,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
103,2459675.654838,19.6618537902832,0.205138683319092,g,99.0,2,0.0
104,2459672.801331,19.7637138366699,0.148770347237587,g,99.0,2,0.0
