,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
1,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
2,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
3,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
4,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
5,2459673.8163426,19.7036590576172,0.144815102219582,g,99.0,2,0.0
6,2459673.836088,19.6497611999512,0.134208798408508,g,99.0,2,0.0
7,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
8,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
9,2459674.9446644,19.6472568511963,0.150826588273048,r,99.0,2,0.0
10,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
11,2459675.7127778,19.4910678863525,0.131926134228706,r,99.0,1,0.0
12,2459675.8003819,19.645299911499,0.171892002224922,i,99.0,2,0.0
13,2459675.8324074,19.8747482299805,0.180874049663544,g,99.0,1,0.0
14,2459675.8387153,19.5618000030518,0.13261778652668,r,99.0,2,0.0
15,2459675.8794329,19.6965446472168,0.15880423784256,g,99.0,2,0.0
16,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
17,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
18,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
19,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
20,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
21,2459673.8163426,19.7036590576172,0.144815102219582,g,99.0,2,0.0
22,2459673.836088,19.6497611999512,0.134208798408508,g,99.0,2,0.0
23,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
24,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
25,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
26,2459675.7127778,19.4910678863525,0.131926134228706,r,99.0,1,0.0
27,2459675.8003819,19.645299911499,0.171892002224922,i,99.0,2,0.0
28,2459675.8324074,19.8747482299805,0.180874049663544,g,99.0,1,0.0
29,2459675.8387153,19.5618000030518,0.13261778652668,r,99.0,2,0.0
30,2459675.8794329,19.6965446472168,0.15880423784256,g,99.0,2,0.0
31,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
32,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
33,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
34,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
35,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
36,2459673.8163426,19.7036590576172,0.144815102219582,g,99.0,2,0.0
37,2459673.836088,19.6497611999512,0.134208798408508,g,99.0,2,0.0
38,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
39,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
40,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
41,2459675.8003819,19.645299911499,0.171892002224922,i,99.0,2,0.0
42,2459675.8324074,19.8747482299805,0.180874049663544,g,99.0,1,0.0
43,2459675.8387153,19.5618000030518,0.13261778652668,r,99.0,2,0.0
44,2459675.8794329,19.6965446472168,0.15880423784256,g,99.0,2,0.0
45,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
46,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
47,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
48,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
49,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
50,2459673.836088,19.6497611999512,0.134208798408508,g,99.0,2,0.0
51,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
52,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
53,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
54,2459675.8003819,19.645299911499,0.171892002224922,i,99.0,2,0.0
55,2459675.8324074,19.8747482299805,0.180874049663544,g,99.0,1,0.0
56,2459675.8387153,19.5618000030518,0.13261778652668,r,99.0,2,0.0
57,2459675.8794329,19.6965446472168,0.15880423784256,g,99.0,2,0.0
58,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
59,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
60,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
61,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
62,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
63,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
64,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
65,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
66,2459675.8003819,19.645299911499,0.171892002224922,i,99.0,2,0.0
67,2459675.8324074,19.8747482299805,0.180874049663544,g,99.0,1,0.0
68,2459675.8387153,19.5618000030518,0.13261778652668,r,99.0,2,0.0
69,2459675.8794329,19.6965446472168,0.15880423784256,g,99.0,2,0.0
70,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
71,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
72,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
73,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
74,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
75,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
76,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
77,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
78,2459675.8324074,19.8747482299805,0.180874049663544,g,99.0,1,0.0
79,2459675.8387153,19.5618000030518,0.13261778652668,r,99.0,2,0.0
80,2459675.8794329,19.6965446472168,0.15880423784256,g,99.0,2,0.0
81,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
82,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
83,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
84,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
85,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
86,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
87,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
88,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
89,2459675.8387153,19.5618000030518,0.13261778652668,r,99.0,2,0.0
90,2459675.8794329,19.6965446472168,0.15880423784256,g,99.0,2,0.0
91,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
92,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
93,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
94,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
95,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
96,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
97,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
98,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
99,2459675.8794329,19.6965446472168,0.15880423784256,g,99.0,2,0.0
100,2459670.8676505,19.9347743988037,0.172948494553566,r,99.0,2,0.0
101,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
102,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
103,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
104,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
105,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
106,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
107,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
108,2459671.8745718,19.9070339202881,0.143943354487419,r,99.0,2,0.0
109,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
110,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
111,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
112,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
113,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
114,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
115,2459672.7998843,19.7454147338867,0.120843432843685,g,99.0,2,0.0
116,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
117,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
118,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
119,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
120,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
121,2459672.8162616,19.7511768341064,0.16266542673111,g,99.0,1,0.0
122,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
123,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
124,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
125,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
126,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
127,2459674.8774306,19.6175289154053,0.162018448114395,g,99.0,2,0.0
128,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
129,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
130,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
131,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
132,2459675.6543634,19.5914745330811,0.197536751627922,g,99.0,2,0.0
133,2459673.8122917,19.8337440490723,0.192136019468307,r,99.0,2,0.0
134,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
135,2459674.9000694,19.7284908294678,0.156123593449593,g,99.0,2,0.0
