,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459670.9016204,20.3045959472656,0.183071821928024,g,99.0,2,0.0
1,2459671.8186343,20.1069660186768,0.15911029279232,r,99.0,2,0.0
2,2459671.9155208,19.9073810577393,0.177421882748604,g,99.0,2,0.0
3,2459671.9200347,19.8309993743896,0.144152000546455,g,99.0,1,0.0
4,2459671.9472801,19.8047847747803,0.151688933372498,g,99.0,2,0.0
5,2459672.8027778,19.7439193725586,0.125389277935028,g,99.0,2,0.0
6,2459672.8037384,19.8541622161865,0.162295132875443,g,99.0,1,0.0
7,2459673.8055324,19.5987949371338,0.159932538866997,r,99.0,2,0.0
8,2459673.8192245,19.493143081665,0.13246014714241,g,99.0,2,0.0
9,2459673.8316667,19.4572257995605,0.188614577054977,g,99.0,2,0.0
10,2459673.8384954,19.4943923950195,0.12523327767849,g,99.0,2,0.0
11,2459673.9021296,19.468204498291,0.168062165379524,g,99.0,2,0.0
12,2459674.8793519,19.2687759399414,0.132028892636299,g,99.0,1,0.0
13,2459674.8803356,19.2621574401855,0.122215904295444,g,99.0,2,0.0
14,2459674.8808102,19.2889175415039,0.114331685006618,g,99.0,2,0.0
15,2459674.9019907,19.3430843353271,0.114902570843697,g,99.0,2,0.0
16,2459674.9169444,19.2336406707764,0.1428282558918,g,99.0,2,0.0
17,2459674.9347454,19.3254203796387,0.121505528688431,i,99.0,2,0.0
18,2459674.9460995,19.2634773254395,0.125768303871155,r,99.0,2,0.0
19,2459674.9465741,19.4002590179443,0.132188856601715,r,99.0,2,0.0
20,2459674.9587384,19.4719142913818,0.133817940950394,r,99.0,1,0.0
21,2459675.6562731,19.1425170898438,0.116612464189529,g,99.0,2,0.0
22,2459675.8232755,19.1550178527832,0.0977557823061943,g,99.0,1,0.0
23,2459675.862037,19.246265411377,0.106323674321175,g,99.0,2,0.0
24,2459675.9055208,19.2061519622803,0.117778576910496,r,99.0,2,0.0
25,2459670.9016204,20.3045959472656,0.183071821928024,g,99.0,2,0.0
26,2459671.8186343,20.1069660186768,0.15911029279232,r,99.0,2,0.0
27,2459671.9155208,19.9073810577393,0.177421882748604,g,99.0,2,0.0
28,2459671.9472801,19.8047847747803,0.151688933372498,g,99.0,2,0.0
29,2459672.8027778,19.7439193725586,0.125389277935028,g,99.0,2,0.0
30,2459672.8037384,19.8541622161865,0.162295132875443,g,99.0,1,0.0
31,2459673.8055324,19.5987949371338,0.159932538866997,r,99.0,2,0.0
32,2459673.8192245,19.493143081665,0.13246014714241,g,99.0,2,0.0
33,2459673.8316667,19.4572257995605,0.188614577054977,g,99.0,2,0.0
34,2459673.8384954,19.4943923950195,0.12523327767849,g,99.0,2,0.0
35,2459673.9021296,19.468204498291,0.168062165379524,g,99.0,2,0.0
36,2459674.8793519,19.2687759399414,0.132028892636299,g,99.0,1,0.0
37,2459674.8803356,19.2621574401855,0.122215904295444,g,99.0,2,0.0
38,2459674.8808102,19.2889175415039,0.114331685006618,g,99.0,2,0.0
39,2459674.9019907,19.3430843353271,0.114902570843697,g,99.0,2,0.0
40,2459674.9169444,19.2336406707764,0.1428282558918,g,99.0,2,0.0
41,2459674.9347454,19.3254203796387,0.121505528688431,i,99.0,2,0.0
42,2459674.9460995,19.2634773254395,0.125768303871155,r,99.0,2,0.0
43,2459674.9465741,19.4002590179443,0.132188856601715,r,99.0,2,0.0
44,2459674.9587384,19.4719142913818,0.133817940950394,r,99.0,1,0.0
45,2459675.6562731,19.1425170898438,0.116612464189529,g,99.0,2,0.0
46,2459675.8232755,19.1550178527832,0.0977557823061943,g,99.0,1,0.0
47,2459675.862037,19.246265411377,0.106323674321175,g,99.0,2,0.0
48,2459675.9055208,19.2061519622803,0.117778576910496,r,99.0,2,0.0
49,2459670.9016204,20.3045959472656,0.183071821928024,g,99.0,2,0.0
50,2459671.8186343,20.1069660186768,0.15911029279232,r,99.0,2,0.0
51,2459671.9155208,19.9073810577393,0.177421882748604,g,99.0,2,0.0
