,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459670.8613194,20.4810810089111,0.192072317004204,r,99.0,2,0.0
1,2459671.8332176,20.4639167785645,0.177486851811409,r,99.0,2,0.0
2,2459671.860544,20.3690910339355,0.199263125658035,r,99.0,2,0.0
3,2459671.8702315,20.3957386016846,0.206686183810234,r,99.0,1,0.0
4,2459671.9291667,20.2916984558105,0.160954222083092,g,99.0,1,0.0
5,2459671.9301273,20.2639942169189,0.172296822071075,g,99.0,2,0.0
6,2459671.9685648,20.240177154541,0.147007703781128,g,99.0,2,0.0
7,2459672.6669097,20.2702083587646,0.146086618304253,g,99.0,2,0.0
8,2459672.8095718,20.3044319152832,0.144881576299667,g,99.0,2,0.0
9,2459673.8249769,20.1686134338379,0.169378355145454,g,99.0,2,0.0
10,2459673.905,20.3083992004395,0.270368993282318,g,99.0,2,0.0
11,2459674.8837269,20.1372451782227,0.161285415291786,g,99.0,2,0.0
12,2459674.8846875,20.129430770874,0.188633561134338,g,99.0,1,0.0
13,2459674.9563426,20.0158996582031,0.191773995757103,r,99.0,2,0.0
14,2459675.8420833,20.2493858337402,0.185020357370377,r,99.0,2,0.0
15,2459675.8809606,20.1484279632568,0.212981343269348,g,99.0,2,0.0
16,2459676.821794,19.8444004058838,0.238470003008842,g,99.0,2,0.0
17,2459676.8227546,20.0944995880127,0.190889999270439,g,99.0,1,0.0
18,2459676.8627083,20.1028995513916,0.223471000790596,r,99.0,1,0.0
19,2459676.863669,20.0799007415771,0.205130994319916,r,99.0,2,0.0
20,2459676.8912731,19.9456005096436,0.309691995382309,g,99.0,2,0.0
21,2459677.7422106,20.4395008087158,0.326572000980377,g,99.0,2,0.0
22,2459677.8205324,20.2794036865234,0.200654834508896,g,99.0,2,0.0
23,2459677.8706944,20.0986995697021,0.216630011796951,r,99.0,2,0.0
24,2459670.8613194,20.4810810089111,0.192072317004204,r,99.0,2,0.0
25,2459671.8332176,20.4639167785645,0.177486851811409,r,99.0,2,0.0
26,2459671.860544,20.3690910339355,0.199263125658035,r,99.0,2,0.0
27,2459671.8702315,20.3957386016846,0.206686183810234,r,99.0,1,0.0
28,2459671.9301273,20.2639942169189,0.172296822071075,g,99.0,2,0.0
29,2459671.9685648,20.240177154541,0.147007703781128,g,99.0,2,0.0
30,2459672.6669097,20.2702083587646,0.146086618304253,g,99.0,2,0.0
31,2459672.8095718,20.3044319152832,0.144881576299667,g,99.0,2,0.0
32,2459673.8249769,20.1686134338379,0.169378355145454,g,99.0,2,0.0
33,2459673.905,20.3083992004395,0.270368993282318,g,99.0,2,0.0
