,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459671.9272454,20.3796253204346,0.185803145170212,g,99.0,1,0.0
1,2459674.8880903,20.0567874908447,0.210663095116615,g,99.0,1,0.0
2,2459674.9558218,19.8705615997314,0.206584364175797,r,99.0,1,0.0
4,2459676.8232755,19.9381008148193,0.189009994268417,g,99.0,1,0.0
8,2459671.9272454,20.3796253204346,0.185803145170212,g,99.0,1,0.0
9,2459674.8880903,20.0567874908447,0.210663095116615,g,99.0,1,0.0
10,2459674.9558218,19.8705615997314,0.206584364175797,r,99.0,1,0.0
12,2459676.8232755,19.9381008148193,0.189009994268417,g,99.0,1,0.0
15,2459671.9272454,20.3796253204346,0.185803145170212,g,99.0,1,0.0
16,2459674.8880903,20.0567874908447,0.210663095116615,g,99.0,1,0.0
17,2459674.9558218,19.8705615997314,0.206584364175797,r,99.0,1,0.0
19,2459676.8232755,19.9381008148193,0.189009994268417,g,99.0,1,0.0
21,2459674.8880903,20.0567874908447,0.210663095116615,g,99.0,1,0.0
22,2459674.9558218,19.8705615997314,0.206584364175797,r,99.0,1,0.0
24,2459676.8232755,19.9381008148193,0.189009994268417,g,99.0,1,0.0
26,2459674.8880903,20.0567874908447,0.210663095116615,g,99.0,1,0.0
27,2459674.9558218,19.8705615997314,0.206584364175797,r,99.0,1,0.0
28,2459676.8232755,19.9381008148193,0.189009994268417,g,99.0,1,0.0
30,2459674.9558218,19.8705615997314,0.206584364175797,r,99.0,1,0.0
31,2459676.8232755,19.9381008148193,0.189009994268417,g,99.0,1,0.0
33,2459674.9558218,19.8705615997314,0.206584364175797,r,99.0,1,0.0
35,2459674.9558218,19.8705615997314,0.206584364175797,r,99.0,1,0.0
