,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459675.9569329,18.689474105835,0.099577508866787,r,99.0,1,0.0
1,2459675.9917361,19.104808807373,0.120762720704079,g,99.0,1,0.0
2,2459677.9570486,19.2620792388916,0.122147671878338,r,99.0,1,0.0
3,2459677.9950579,19.7334480285645,0.204335421323776,g,99.0,1,0.0
4,2459675.9569329,18.689474105835,0.099577508866787,r,99.0,1,0.0
5,2459675.9917361,19.104808807373,0.120762720704079,g,99.0,1,0.0
6,2459677.9570486,19.2620792388916,0.122147671878338,r,99.0,1,0.0
7,2459675.9917361,19.104808807373,0.120762720704079,g,99.0,1,0.0
8,2459677.9570486,19.2620792388916,0.122147671878338,r,99.0,1,0.0
9,2459675.9917361,19.104808807373,0.120762720704079,g,99.0,1,0.0
