,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459675.8440162,20.6718997955322,0.232151001691818,r,99.0,1,0.0
1,2459676.9847917,20.0639991760254,0.268137991428375,r,99.0,2,0.0
2,2459677.8229977,20.4587993621826,0.328740000724792,g,99.0,1,0.0
3,2459677.8234838,20.4006996154785,0.284323006868362,g,99.0,1,0.0
4,2459677.8740625,20.3935432434082,0.210589468479156,r,99.0,2,0.0
5,2459675.8440162,20.6718997955322,0.232151001691818,r,99.0,1,0.0
6,2459676.9847917,20.0639991760254,0.268137991428375,r,99.0,2,0.0
7,2459677.8234838,20.4006996154785,0.284323006868362,g,99.0,1,0.0
8,2459677.8740625,20.3935432434082,0.210589468479156,r,99.0,2,0.0
9,2459676.9847917,20.0639991760254,0.268137991428375,r,99.0,2,0.0
10,2459677.8234838,20.4006996154785,0.284323006868362,g,99.0,1,0.0
11,2459677.8740625,20.3935432434082,0.210589468479156,r,99.0,2,0.0
12,2459677.8234838,20.4006996154785,0.284323006868362,g,99.0,1,0.0
13,2459677.8740625,20.3935432434082,0.210589468479156,r,99.0,2,0.0
14,2459677.8234838,20.4006996154785,0.284323006868362,g,99.0,1,0.0
