,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459671.0047338,19.9692001342773,0.198919996619225,r,99.0,1,0.0
1,2459671.0072454,19.754322052002,0.195344015955925,r,99.0,1,0.0
2,2459671.0097685,19.9902992248535,0.232155993580818,r,99.0,1,0.0
3,2459671.0122917,19.714599609375,0.245809003710747,r,99.0,1,0.0
4,2459671.0148148,19.9416999816895,0.240697994828224,r,99.0,1,0.0
5,2459672.0026157,19.8166999816895,0.193690001964569,r,99.0,1,0.0
6,2459672.0051389,19.9954490661621,0.21256197988987,r,99.0,1,0.0
7,2459672.0076505,19.9899578094482,0.203155159950256,r,99.0,1,0.0
8,2459672.0101736,19.9305000305176,0.186352998018265,r,99.0,1,0.0
9,2459672.0126968,19.8129005432129,0.183950006961823,r,99.0,1,0.0
10,2459674.0010995,19.57200050354,0.262789994478226,r,99.0,1,0.0
11,2459674.0036343,19.8861999511719,0.327735990285873,r,99.0,1,0.0
12,2459674.0087153,19.6392002105713,0.306198000907898,r,99.0,1,0.0
13,2459674.01125,19.682300567627,0.223691001534462,r,99.0,1,0.0
14,2459675.0012731,20.1000003814697,0.232289001345634,r,99.0,1,0.0
15,2459675.0063657,19.9919300079346,0.201847761869431,r,99.0,1,0.0
16,2459671.0047338,19.9692001342773,0.198919996619225,r,99.0,1,0.0
17,2459671.0072454,19.754322052002,0.195344015955925,r,99.0,1,0.0
18,2459671.0097685,19.9902992248535,0.232155993580818,r,99.0,1,0.0
19,2459671.0122917,19.714599609375,0.245809003710747,r,99.0,1,0.0
20,2459671.0148148,19.9416999816895,0.240697994828224,r,99.0,1,0.0
21,2459672.0026157,19.8166999816895,0.193690001964569,r,99.0,1,0.0
22,2459672.0051389,19.9954490661621,0.21256197988987,r,99.0,1,0.0
23,2459672.0101736,19.9305000305176,0.186352998018265,r,99.0,1,0.0
24,2459672.0126968,19.8129005432129,0.183950006961823,r,99.0,1,0.0
25,2459674.0010995,19.57200050354,0.262789994478226,r,99.0,1,0.0
26,2459674.0036343,19.8861999511719,0.327735990285873,r,99.0,1,0.0
27,2459674.0087153,19.6392002105713,0.306198000907898,r,99.0,1,0.0
28,2459674.01125,19.682300567627,0.223691001534462,r,99.0,1,0.0
29,2459675.0012731,20.1000003814697,0.232289001345634,r,99.0,1,0.0
30,2459675.0063657,19.9919300079346,0.201847761869431,r,99.0,1,0.0
31,2459671.0047338,19.9692001342773,0.198919996619225,r,99.0,1,0.0
32,2459671.0072454,19.754322052002,0.195344015955925,r,99.0,1,0.0
33,2459671.0097685,19.9902992248535,0.232155993580818,r,99.0,1,0.0
34,2459671.0122917,19.714599609375,0.245809003710747,r,99.0,1,0.0
35,2459671.0148148,19.9416999816895,0.240697994828224,r,99.0,1,0.0
36,2459672.0026157,19.8166999816895,0.193690001964569,r,99.0,1,0.0
37,2459672.0051389,19.9954490661621,0.21256197988987,r,99.0,1,0.0
38,2459672.0126968,19.8129005432129,0.183950006961823,r,99.0,1,0.0
39,2459674.0010995,19.57200050354,0.262789994478226,r,99.0,1,0.0
40,2459674.0036343,19.8861999511719,0.327735990285873,r,99.0,1,0.0
41,2459674.0087153,19.6392002105713,0.306198000907898,r,99.0,1,0.0
42,2459674.01125,19.682300567627,0.223691001534462,r,99.0,1,0.0
43,2459675.0012731,20.1000003814697,0.232289001345634,r,99.0,1,0.0
44,2459675.0063657,19.9919300079346,0.201847761869431,r,99.0,1,0.0
45,2459671.0047338,19.9692001342773,0.198919996619225,r,99.0,1,0.0
46,2459671.0072454,19.754322052002,0.195344015955925,r,99.0,1,0.0
47,2459671.0097685,19.9902992248535,0.232155993580818,r,99.0,1,0.0
48,2459671.0122917,19.714599609375,0.245809003710747,r,99.0,1,0.0
49,2459671.0148148,19.9416999816895,0.240697994828224,r,99.0,1,0.0
50,2459672.0026157,19.8166999816895,0.193690001964569,r,99.0,1,0.0
51,2459672.0051389,19.9954490661621,0.21256197988987,r,99.0,1,0.0
52,2459674.0010995,19.57200050354,0.262789994478226,r,99.0,1,0.0
53,2459674.0036343,19.8861999511719,0.327735990285873,r,99.0,1,0.0
