,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459675.0128935,18.5045051574707,0.13250420987606,r,99.0,1,0.0
1,2459675.0153588,18.5981884002686,0.111269295215607,r,99.0,1,0.0
2,2459675.0178241,18.5782451629639,0.100836895406246,r,99.0,1,0.0
3,2459675.0202894,18.5036315917969,0.113063178956509,r,99.0,1,0.0
4,2459676.0123843,18.5706100463867,0.100169487297535,r,99.0,1,0.0
5,2459676.014838,18.4067726135254,0.11211284995079,r,99.0,1,0.0
6,2459676.0173032,18.4873504638672,0.112921193242073,r,99.0,1,0.0
7,2459676.0197685,18.3745098114014,0.0996075123548508,r,99.0,1,0.0
8,2459676.0222454,18.4669952392578,0.130398124456406,r,99.0,1,0.0
9,2459677.0094676,18.3924007415771,0.20626500248909,r,99.0,1,0.0
10,2459677.0143981,17.8896007537842,0.19888199865818,r,99.0,1,0.0
11,2459678.0099653,18.4448051452637,0.138456225395203,r,99.0,1,0.0
12,2459678.0124306,18.4748306274414,0.150962427258492,r,99.0,1,0.0
13,2459678.0148958,18.3444652557373,0.160931512713432,r,99.0,1,0.0
14,2459678.0173611,18.478099822998,0.255878001451492,r,99.0,1,0.0
15,2459678.0198264,18.1627616882324,0.119416996836662,r,99.0,1,0.0
16,2459675.0153588,18.5981884002686,0.111269295215607,r,99.0,1,0.0
17,2459675.0178241,18.5782451629639,0.100836895406246,r,99.0,1,0.0
18,2459675.0202894,18.5036315917969,0.113063178956509,r,99.0,1,0.0
19,2459676.0123843,18.5706100463867,0.100169487297535,r,99.0,1,0.0
20,2459676.014838,18.4067726135254,0.11211284995079,r,99.0,1,0.0
21,2459676.0173032,18.4873504638672,0.112921193242073,r,99.0,1,0.0
22,2459676.0197685,18.3745098114014,0.0996075123548508,r,99.0,1,0.0
23,2459676.0222454,18.4669952392578,0.130398124456406,r,99.0,1,0.0
24,2459677.0094676,18.3924007415771,0.20626500248909,r,99.0,1,0.0
25,2459677.0143981,17.8896007537842,0.19888199865818,r,99.0,1,0.0
26,2459678.0099653,18.4448051452637,0.138456225395203,r,99.0,1,0.0
27,2459678.0124306,18.4748306274414,0.150962427258492,r,99.0,1,0.0
28,2459678.0148958,18.3444652557373,0.160931512713432,r,99.0,1,0.0
29,2459678.0173611,18.478099822998,0.255878001451492,r,99.0,1,0.0
30,2459678.0198264,18.1627616882324,0.119416996836662,r,99.0,1,0.0
31,2459675.0153588,18.5981884002686,0.111269295215607,r,99.0,1,0.0
32,2459675.0178241,18.5782451629639,0.100836895406246,r,99.0,1,0.0
33,2459676.0123843,18.5706100463867,0.100169487297535,r,99.0,1,0.0
34,2459676.014838,18.4067726135254,0.11211284995079,r,99.0,1,0.0
35,2459676.0173032,18.4873504638672,0.112921193242073,r,99.0,1,0.0
36,2459676.0197685,18.3745098114014,0.0996075123548508,r,99.0,1,0.0
37,2459676.0222454,18.4669952392578,0.130398124456406,r,99.0,1,0.0
38,2459677.0094676,18.3924007415771,0.20626500248909,r,99.0,1,0.0
39,2459677.0143981,17.8896007537842,0.19888199865818,r,99.0,1,0.0
40,2459678.0099653,18.4448051452637,0.138456225395203,r,99.0,1,0.0
41,2459678.0124306,18.4748306274414,0.150962427258492,r,99.0,1,0.0
42,2459678.0148958,18.3444652557373,0.160931512713432,r,99.0,1,0.0
43,2459678.0173611,18.478099822998,0.255878001451492,r,99.0,1,0.0
44,2459678.0198264,18.1627616882324,0.119416996836662,r,99.0,1,0.0
45,2459675.0153588,18.5981884002686,0.111269295215607,r,99.0,1,0.0
46,2459675.0178241,18.5782451629639,0.100836895406246,r,99.0,1,0.0
47,2459676.0123843,18.5706100463867,0.100169487297535,r,99.0,1,0.0
48,2459676.0173032,18.4873504638672,0.112921193242073,r,99.0,1,0.0
49,2459676.0197685,18.3745098114014,0.0996075123548508,r,99.0,1,0.0
50,2459676.0222454,18.4669952392578,0.130398124456406,r,99.0,1,0.0
51,2459677.0094676,18.3924007415771,0.20626500248909,r,99.0,1,0.0
52,2459677.0143981,17.8896007537842,0.19888199865818,r,99.0,1,0.0
53,2459678.0099653,18.4448051452637,0.138456225395203,r,99.0,1,0.0
54,2459678.0124306,18.4748306274414,0.150962427258492,r,99.0,1,0.0
55,2459678.0148958,18.3444652557373,0.160931512713432,r,99.0,1,0.0
56,2459678.0173611,18.478099822998,0.255878001451492,r,99.0,1,0.0
57,2459678.0198264,18.1627616882324,0.119416996836662,r,99.0,1,0.0
58,2459675.0153588,18.5981884002686,0.111269295215607,r,99.0,1,0.0
