,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459676.6586227,18.2905006408691,0.0611280016601086,r,99.0,1,0.0
1,2459676.6996991,18.3122005462646,0.106349997222424,g,99.0,1,0.0
2,2459678.6655671,19.0721263885498,0.132126033306122,g,99.0,1,0.0
3,2459678.6988426,18.8645114898682,0.120099365711212,r,99.0,1,0.0
4,2459676.6586227,18.2905006408691,0.0611280016601086,r,99.0,1,0.0
5,2459678.6655671,19.0721263885498,0.132126033306122,g,99.0,1,0.0
6,2459678.6988426,18.8645114898682,0.120099365711212,r,99.0,1,0.0
7,2459676.6586227,18.2905006408691,0.0611280016601086,r,99.0,1,0.0
8,2459678.6988426,18.8645114898682,0.120099365711212,r,99.0,1,0.0
9,2459676.6586227,18.2905006408691,0.0611280016601086,r,99.0,1,0.0
