,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459674.8803356,20.2988300323486,0.169063359498978,g,99.0,2,0.0
1,2459674.9019907,20.2560997009277,0.231332004070282,g,99.0,2,0.0
2,2459675.6562731,20.2959995269775,0.244017004966736,g,99.0,2,0.0
3,2459675.8232755,19.9564018249512,0.186509072780609,g,99.0,1,0.0
4,2459675.862037,20.1189956665039,0.200133100152016,g,99.0,2,0.0
5,2459676.7991088,19.9776000976562,0.184812992811203,g,99.0,2,0.0
6,2459676.8603009,19.92799949646,0.192965000867844,r,99.0,2,0.0
7,2459676.8845602,19.815299987793,0.235265001654625,g,99.0,2,0.0
8,2459677.7369329,19.5989398956299,0.207427635788918,g,99.0,2,0.0
9,2459677.8116319,19.6464653015137,0.137061402201653,g,99.0,1,0.0
10,2459677.8489352,19.7028503417969,0.166103959083557,g,99.0,2,0.0
11,2459677.9162037,19.6062355041504,0.171555891633034,r,99.0,2,0.0
12,2459678.799375,19.5670032501221,0.148197561502457,g,99.0,2,0.0
13,2459678.8427431,19.5395774841309,0.136332660913467,g,99.0,2,0.0
14,2459679.7622454,19.3486557006836,0.129544720053673,g,99.0,2,0.0
15,2459679.763206,19.4102039337158,0.106531873345375,g,99.0,1,0.0
16,2459679.8054167,19.4331474304199,0.149400383234024,g,99.0,2,0.0
17,2459680.7294792,19.4116401672363,0.213874727487564,r,99.0,2,0.0
18,2459680.8574537,19.5702743530273,0.172040790319443,r,99.0,2,0.0
19,2459674.8803356,20.2988300323486,0.169063359498978,g,99.0,2,0.0
20,2459674.9019907,20.2560997009277,0.231332004070282,g,99.0,2,0.0
21,2459675.6562731,20.2959995269775,0.244017004966736,g,99.0,2,0.0
22,2459675.8232755,19.9564018249512,0.186509072780609,g,99.0,1,0.0
23,2459676.7991088,19.9776000976562,0.184812992811203,g,99.0,2,0.0
24,2459676.8603009,19.92799949646,0.192965000867844,r,99.0,2,0.0
25,2459676.8845602,19.815299987793,0.235265001654625,g,99.0,2,0.0
26,2459677.7369329,19.5989398956299,0.207427635788918,g,99.0,2,0.0
27,2459677.8116319,19.6464653015137,0.137061402201653,g,99.0,1,0.0
28,2459677.8489352,19.7028503417969,0.166103959083557,g,99.0,2,0.0
29,2459677.9162037,19.6062355041504,0.171555891633034,r,99.0,2,0.0
30,2459678.799375,19.5670032501221,0.148197561502457,g,99.0,2,0.0
31,2459678.8427431,19.5395774841309,0.136332660913467,g,99.0,2,0.0
32,2459679.7622454,19.3486557006836,0.129544720053673,g,99.0,2,0.0
33,2459679.763206,19.4102039337158,0.106531873345375,g,99.0,1,0.0
34,2459679.8054167,19.4331474304199,0.149400383234024,g,99.0,2,0.0
35,2459680.7294792,19.4116401672363,0.213874727487564,r,99.0,2,0.0
36,2459680.8574537,19.5702743530273,0.172040790319443,r,99.0,2,0.0
37,2459674.8803356,20.2988300323486,0.169063359498978,g,99.0,2,0.0
38,2459674.9019907,20.2560997009277,0.231332004070282,g,99.0,2,0.0
