,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459679.0089236,19.400899887085,0.235356003046036,r,99.0,1,0.0
1,2459679.011331,19.3749008178711,0.24686299264431,r,99.0,1,0.0
2,2459679.0137269,19.2440128326416,0.202147513628006,r,99.0,1,0.0
3,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
4,2459680.0150231,19.2297992706299,0.249254003167152,r,99.0,1,0.0
5,2459683.0052199,19.294900894165,0.220161005854607,r,99.0,1,0.0
6,2459683.0076042,19.0194282531738,0.205935925245285,r,99.0,1,0.0
7,2459684.0070833,19.559700012207,0.268186002969742,r,99.0,1,0.0
8,2459684.009456,19.4682846069336,0.212337285280228,r,99.0,1,0.0
9,2459679.0089236,19.400899887085,0.235356003046036,r,99.0,1,0.0
10,2459679.011331,19.3749008178711,0.24686299264431,r,99.0,1,0.0
11,2459679.0137269,19.2440128326416,0.202147513628006,r,99.0,1,0.0
12,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
13,2459683.0052199,19.294900894165,0.220161005854607,r,99.0,1,0.0
14,2459683.0076042,19.0194282531738,0.205935925245285,r,99.0,1,0.0
15,2459684.0070833,19.559700012207,0.268186002969742,r,99.0,1,0.0
16,2459684.009456,19.4682846069336,0.212337285280228,r,99.0,1,0.0
17,2459679.0089236,19.400899887085,0.235356003046036,r,99.0,1,0.0
18,2459679.011331,19.3749008178711,0.24686299264431,r,99.0,1,0.0
19,2459679.0137269,19.2440128326416,0.202147513628006,r,99.0,1,0.0
20,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
21,2459683.0076042,19.0194282531738,0.205935925245285,r,99.0,1,0.0
22,2459684.0070833,19.559700012207,0.268186002969742,r,99.0,1,0.0
23,2459684.009456,19.4682846069336,0.212337285280228,r,99.0,1,0.0
24,2459679.0089236,19.400899887085,0.235356003046036,r,99.0,1,0.0
25,2459679.011331,19.3749008178711,0.24686299264431,r,99.0,1,0.0
26,2459679.0137269,19.2440128326416,0.202147513628006,r,99.0,1,0.0
27,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
28,2459684.0070833,19.559700012207,0.268186002969742,r,99.0,1,0.0
29,2459684.009456,19.4682846069336,0.212337285280228,r,99.0,1,0.0
30,2459679.0089236,19.400899887085,0.235356003046036,r,99.0,1,0.0
31,2459679.011331,19.3749008178711,0.24686299264431,r,99.0,1,0.0
32,2459679.0137269,19.2440128326416,0.202147513628006,r,99.0,1,0.0
33,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
34,2459684.009456,19.4682846069336,0.212337285280228,r,99.0,1,0.0
35,2459679.0089236,19.400899887085,0.235356003046036,r,99.0,1,0.0
36,2459679.011331,19.3749008178711,0.24686299264431,r,99.0,1,0.0
37,2459679.0137269,19.2440128326416,0.202147513628006,r,99.0,1,0.0
38,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
39,2459679.011331,19.3749008178711,0.24686299264431,r,99.0,1,0.0
40,2459679.0137269,19.2440128326416,0.202147513628006,r,99.0,1,0.0
41,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
42,2459679.011331,19.3749008178711,0.24686299264431,r,99.0,1,0.0
43,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
44,2459680.0126273,19.1125984191895,0.210504069924355,r,99.0,1,0.0
