,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459678.7959838,20.1914789738075,0.105700416311855,g,20.9731730183393,2.0,1.0
1,2459678.8408333,19.9156401444592,0.0848036000193675,g,20.9364902110645,2.0,1.0
2,2459678.8796528,20.3136240499372,0.124075216813076,r,20.9212972321028,2.0,1.0
3,2459679.6578935,20.4631216872102,0.220366386607897,g,20.4471441000356,2.0,1.0
4,2459679.6901968,20.1547519964342,0.161152626110054,r,20.4785443178266,2.0,1.0
5,2459679.7499884,19.9278531688367,0.099966134465614,r,20.7701067105701,2.0,1.0
6,2459680.8380903,20.1366533228677,0.202956679861371,r,20.2100307376793,2.0,1.0
7,2459682.7548611,19.4575226871621,0.165018627687918,i,19.7555760483634,2.0,1.0
8,2459685.7957755,19.4253381777672,0.227772016140851,i,19.3734730518528,2.0,1.0
9,2459679.7583912,19.8917007446289,0.253818988800049,g,99.0,1.0,0.0
10,2459682.7141782,19.2889842987061,0.209285199642181,g,99.0,1.0,0.0
11,2459685.7326852,19.0328636169434,0.144387736916542,r,99.0,1.0,0.0
12,2459679.7583912,19.8917007446289,0.253818988800049,g,99.0,1.0,0.0
13,2459682.7141782,19.2889842987061,0.209285199642181,g,99.0,1.0,0.0
14,2459682.7141782,19.2889842987061,0.209285199642181,g,99.0,1.0,0.0
