,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459682.686794,99.0,99.0,g,19.9935272872333,2.0,1.0
1,2459682.7706134,99.0,99.0,i,20.0584372862597,2.0,1.0
2,2459682.7828819,20.7362434866284,0.259848095288418,r,20.5413304313444,2.0,1.0
3,2459682.8035995,20.4764364269584,0.238381960825989,r,20.3751387466233,2.0,1.0
5,2459682.8649884,99.0,99.0,r,20.3344563429227,2.0,1.0
6,2459682.9234954,99.0,99.0,g,20.4200250453738,2.0,1.0
7,2459683.7602894,99.0,99.0,g,20.3725644656528,2.0,1.0
8,2459683.8793866,20.3560837063123,0.158678962734943,r,20.6966711132006,2.0,1.0
9,2459683.9506713,20.4855133102574,0.219068884083625,g,20.4759473593544,2.0,1.0
10,2459684.7425347,20.4444411207715,0.243469859196243,r,20.3202138983987,2.0,1.0
11,2459684.7602083,99.0,99.0,g,20.0245801014357,2.0,1.0
12,2459684.9044792,20.6864727467392,0.261088199039579,r,20.4863904295001,2.0,1.0
13,2459684.9686921,20.1829918737833,0.240863633777055,g,20.0704495778038,2.0,1.0
14,2459685.7260995,20.2256306270634,0.202139202039049,r,20.3033900487665,2.0,1.0
15,2459685.8121412,99.0,99.0,i,19.8429951796308,2.0,1.0
16,2459685.8325463,20.3366433049144,0.261392864858616,g,20.1352947724173,2.0,1.0
17,2459685.8712616,99.0,99.0,r,20.0478031167788,2.0,1.0
18,2459685.9121759,19.8281818786055,0.198318437947774,g,19.9266599350488,2.0,1.0
19,2459686.8858681,99.0,99.0,g,19.4025699984863,2.0,1.0
20,2459687.8639815,20.0934535901107,0.180885086016979,r,20.2918324773585,2.0,1.0
21,2459687.9058565,20.2742078785138,0.175523279635014,r,20.5052568549661,2.0,1.0
22,2459687.9239699,19.865185802685,0.147800315287078,g,20.2828831905385,2.0,1.0
23,2459688.7660301,20.1813723652868,0.170478277582301,g,20.4440855322322,2.0,1.0
24,2459688.8036458,99.0,99.0,i,20.0007486943457,2.0,1.0
25,2459688.8204861,20.0019348125208,0.108222351775519,r,20.7580281832752,2.0,1.0
26,2459688.8737731,19.9650612682905,0.154514667082814,r,20.3345227811383,2.0,1.0
28,2459689.7646991,20.1379204937609,0.1701140402707,r,20.4029558844698,2.0,1.0
29,2459689.7853704,20.1974004890294,0.156895247425299,g,20.5502618071112,2.0,1.0
30,2459689.9347454,19.7993091073249,0.187458546104297,r,19.9589317854381,2.0,1.0
31,2459687.8639815,20.1061000823975,0.242819994688034,r,99.0,2.0,0.0
32,2459687.9239699,19.7749004364014,0.251428008079529,g,99.0,2.0,0.0
33,2459688.7660301,20.2126007080078,0.274468004703522,g,99.0,2.0,0.0
34,2459688.8204861,19.9382209777832,0.173949003219604,r,99.0,2.0,0.0
35,2459687.8639815,20.1061000823975,0.242819994688034,r,99.0,2.0,0.0
36,2459688.7660301,20.2126007080078,0.274468004703522,g,99.0,2.0,0.0
37,2459688.8204861,19.9382209777832,0.173949003219604,r,99.0,2.0,0.0
38,2459687.8639815,20.1061000823975,0.242819994688034,r,99.0,2.0,0.0
39,2459688.8204861,19.9382209777832,0.173949003219604,r,99.0,2.0,0.0
40,2459687.8639815,20.1061000823975,0.242819994688034,r,99.0,2.0,0.0
