,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459683.943125,99.0,99.0,g,20.0166678355255,2.0,1.0
1,2459684.7553704,99.0,99.0,g,19.4878216654157,2.0,1.0
2,2459684.9762731,99.0,99.0,g,19.5102279409566,2.0,1.0
3,2459686.8785532,99.0,99.0,g,18.8443820885438,2.0,1.0
4,2459686.8982639,99.0,99.0,r,18.8834953673466,2.0,1.0
5,2459687.8159606,99.0,99.0,i,19.3456717885337,2.0,1.0
6,2459688.7836806,19.9573048738918,0.170155103672742,g,20.2220782130846,2.0,1.0
7,2459688.8489236,20.3521180360277,0.175365012385938,r,20.584146449514,2.0,1.0
8,2459689.7920833,19.584945720313,0.11415382681582,g,20.2831053217412,2.0,1.0
9,2459689.9014468,19.856152948637,0.180973219455296,r,20.0540029566783,2.0,1.0
10,2459690.7915394,19.9004898601211,0.0653694622902193,g,21.2039383677045,2.0,1.0
11,2459690.818125,20.2243360666999,0.124223987748859,r,20.8307081894375,2.0,1.0
12,2459690.8381829,20.0777267850515,0.148609428635591,r,20.4894966630562,2.0,1.0
13,2459690.8592014,20.1203477305801,0.180177405016004,i,20.322982700291,2.0,1.0
14,2459690.934294,19.5525848042192,0.0860621736093747,g,20.5574398169528,2.0,1.0
15,2459689.8127315,19.6245002746582,0.418610006570816,g,99.0,1.0,0.0
16,2459689.9014468,19.7607002258301,0.25941801071167,r,99.0,2.0,0.0
17,2459690.7915394,19.8836994171143,0.14216323196888,g,99.0,2.0,0.0
18,2459690.818125,20.1422004699707,0.2343720048666,r,99.0,2.0,0.0
19,2459690.8381829,20.0291996002197,0.227465003728867,r,99.0,2.0,0.0
20,2459690.934294,19.5926914215088,0.155737116932869,g,99.0,2.0,0.0
21,2459689.8127315,19.6245002746582,0.418610006570816,g,99.0,1.0,0.0
22,2459689.9014468,19.7607002258301,0.25941801071167,r,99.0,2.0,0.0
23,2459690.818125,20.1422004699707,0.2343720048666,r,99.0,2.0,0.0
24,2459690.8381829,20.0291996002197,0.227465003728867,r,99.0,2.0,0.0
25,2459690.934294,19.5926914215088,0.155737116932869,g,99.0,2.0,0.0
26,2459689.8127315,19.6245002746582,0.418610006570816,g,99.0,1.0,0.0
27,2459689.9014468,19.7607002258301,0.25941801071167,r,99.0,2.0,0.0
28,2459690.8381829,20.0291996002197,0.227465003728867,r,99.0,2.0,0.0
29,2459690.934294,19.5926914215088,0.155737116932869,g,99.0,2.0,0.0
30,2459689.8127315,19.6245002746582,0.418610006570816,g,99.0,1.0,0.0
31,2459690.8381829,20.0291996002197,0.227465003728867,r,99.0,2.0,0.0
32,2459690.934294,19.5926914215088,0.155737116932869,g,99.0,2.0,0.0
33,2459690.8381829,20.0291996002197,0.227465003728867,r,99.0,2.0,0.0
34,2459690.934294,19.5926914215088,0.155737116932869,g,99.0,2.0,0.0
35,2459690.934294,19.5926914215088,0.155737116932869,g,99.0,2.0,0.0
