,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459684.7558333,99.0,99.0,g,19.5940750033376,2.0,1.0
1,2459684.8322801,99.0,99.0,r,20.2713397791564,2.0,1.0
2,2459684.8520718,99.0,99.0,r,19.9396622056651,2.0,1.0
4,2459684.9753241,99.0,99.0,g,19.929303578981,2.0,1.0
5,2459685.8024421,99.0,99.0,i,19.8629163178953,2.0,1.0
6,2459686.8771412,99.0,99.0,g,18.9933580010506,2.0,1.0
7,2459686.8987384,99.0,99.0,r,19.2258213709319,2.0,1.0
8,2459687.8740278,99.0,99.0,r,20.2175422536368,2.0,1.0
9,2459687.8996875,99.0,99.0,r,20.0133823138941,2.0,1.0
10,2459688.7831944,20.0495184976008,0.163459612930635,g,20.3578781212356,2.0,1.0
11,2459688.7963426,20.2334478379955,0.212869709872906,i,20.2550489564753,2.0,1.0
12,2459688.8479745,20.443002678739,0.164351523862045,r,20.7454541298284,2.0,1.0
13,2459689.8108449,20.0269668533024,0.195936051873439,g,20.1385667605595,2.0,1.0
14,2459689.9019213,99.0,99.0,r,20.0128785758226,2.0,1.0
15,2459690.7901042,19.7287683015103,0.0647053054909864,g,21.0433043606845,2.0,1.0
16,2459690.8204977,20.1075073668229,0.10160801171732,r,20.9320732731646,2.0,1.0
17,2459690.8542708,20.0585739955742,0.106038833405027,r,20.8367974317637,2.0,1.0
18,2459690.9422685,19.7989761467611,0.110931709460269,g,20.5282226720306,2.0,1.0
19,2459689.8108449,20.0832004547119,0.344619989395142,g,99.0,2.0,0.0
20,2459690.7901042,19.7683620452881,0.154979050159454,g,99.0,2.0,0.0
21,2459690.8123148,19.7278804779053,0.151921465992928,g,99.0,1.0,0.0
22,2459690.8204977,20.1477127075195,0.193315386772156,r,99.0,2.0,0.0
23,2459690.8533333,20.055627822876,0.173042804002762,r,99.0,1.0,0.0
24,2459690.8542708,20.0352993011475,0.235532000660896,r,99.0,2.0,0.0
25,2459690.9422685,19.8255271911621,0.209057301282883,g,99.0,2.0,0.0
26,2459690.7901042,19.7683620452881,0.154979050159454,g,99.0,2.0,0.0
27,2459690.8123148,19.7278804779053,0.151921465992928,g,99.0,1.0,0.0
28,2459690.8204977,20.1477127075195,0.193315386772156,r,99.0,2.0,0.0
29,2459690.8533333,20.055627822876,0.173042804002762,r,99.0,1.0,0.0
30,2459690.8542708,20.0352993011475,0.235532000660896,r,99.0,2.0,0.0
31,2459690.9422685,19.8255271911621,0.209057301282883,g,99.0,2.0,0.0
32,2459690.8123148,19.7278804779053,0.151921465992928,g,99.0,1.0,0.0
33,2459690.8204977,20.1477127075195,0.193315386772156,r,99.0,2.0,0.0
34,2459690.8533333,20.055627822876,0.173042804002762,r,99.0,1.0,0.0
35,2459690.8542708,20.0352993011475,0.235532000660896,r,99.0,2.0,0.0
36,2459690.9422685,19.8255271911621,0.209057301282883,g,99.0,2.0,0.0
37,2459690.8204977,20.1477127075195,0.193315386772156,r,99.0,2.0,0.0
38,2459690.8533333,20.055627822876,0.173042804002762,r,99.0,1.0,0.0
39,2459690.8542708,20.0352993011475,0.235532000660896,r,99.0,2.0,0.0
40,2459690.9422685,19.8255271911621,0.209057301282883,g,99.0,2.0,0.0
41,2459690.8533333,20.055627822876,0.173042804002762,r,99.0,1.0,0.0
42,2459690.8542708,20.0352993011475,0.235532000660896,r,99.0,2.0,0.0
43,2459690.9422685,19.8255271911621,0.209057301282883,g,99.0,2.0,0.0
44,2459690.8542708,20.0352993011475,0.235532000660896,r,99.0,2.0,0.0
45,2459690.9422685,19.8255271911621,0.209057301282883,g,99.0,2.0,0.0
46,2459690.9422685,19.8255271911621,0.209057301282883,g,99.0,2.0,0.0
