,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459683.9478356,99.0,99.0,g,19.5595818623922,2.0,1.0
1,2459684.7382292,99.0,99.0,r,19.9961425269782,2.0,1.0
2,2459684.7539236,99.0,99.0,g,19.8316848511096,2.0,1.0
3,2459684.9359606,99.0,99.0,r,19.8463098456641,2.0,1.0
4,2459684.9720255,99.0,99.0,g,19.2981353857219,2.0,1.0
5,2459685.915544,99.0,99.0,g,19.3288611778991,2.0,1.0
6,2459686.8829051,99.0,99.0,g,19.0869754628659,2.0,1.0
7,2459687.7628472,20.4375617899314,0.269788133679677,g,20.2018904694894,2.0,1.0
8,2459687.9224884,99.0,99.0,g,19.7867880654082,2.0,1.0
9,2459689.7600231,20.3857450931701,0.207970938683172,r,20.4326242522022,2.0,1.0
10,2459689.7778935,20.3065407562894,0.201003846280429,g,20.3904156256805,2.0,1.0
11,2459689.8237847,20.0239266189856,0.222407276235474,g,19.9979399294753,2.0,1.0
12,2459690.7653241,20.2989245843452,0.100412771739153,g,21.1363379852619,2.0,1.0
13,2459690.8018519,20.5657254798648,0.126415711350904,g,21.1531086369192,2.0,1.0
14,2459693.7068171,20.304403241121,0.175352060599119,r,20.536511845878,2.0,1.0
15,2459693.7448958,20.4250787107859,0.119711486346707,g,21.0716249422058,2.0,1.0
16,2459693.9414236,99.0,99.0,g,19.825926900765,2.0,1.0
17,2459690.7653241,20.379711151123,0.208229243755341,g,99.0,2.0,0.0
