,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459686.8790856,99.0,99.0,g,18.6674929698107,2.0,1.0
1,2459688.8155556,99.0,99.0,r,19.8899228501654,2.0,1.0
2,2459688.891956,99.0,99.0,r,19.9501596995278,2.0,1.0
3,2459690.7479745,20.5164282370314,0.13045497571734,r,21.069662405394,2.0,1.0
4,2459690.754838,20.2059284034654,0.134714040673538,g,20.7242820356685,2.0,1.0
5,2459690.7994213,20.1753354882494,0.110490083822159,g,20.9089130197215,2.0,1.0
6,2459690.8391898,20.1535782968097,0.129193745170873,r,20.7173603656763,2.0,1.0
7,2459690.8629977,20.3080316833255,0.246351164841415,i,20.1710309221063,2.0,1.0
8,2459693.7497917,19.9518604746028,0.0912445396811523,g,20.8932290523058,2.0,1.0
9,2459693.7541898,20.3193582334813,0.177018656488003,r,20.5411964218827,2.0,1.0
10,2459693.8394676,20.1431555640486,0.123517785439063,g,20.7557176117435,2.0,1.0
11,2459694.7287153,20.2359299245556,0.211793727949114,i,20.2630329766903,2.0,1.0
12,2459694.7470602,19.9732079249546,0.0849654351108729,r,20.9919879995718,2.0,1.0
13,2459694.7740394,20.0385369362718,0.111290225130246,r,20.7642801729815,2.0,1.0
14,2459694.8540162,19.9326851581479,0.105704997481546,g,20.7143321467249,2.0,1.0
15,2459694.8828819,19.8382000068466,0.127845602586651,g,20.4133713096781,2.0,1.0
16,2459695.7334144,19.4265107798636,0.112893129847237,r,20.1367277850066,2.0,1.0
17,2459695.7535185,19.9413188214616,0.173372565961694,g,20.1857536682743,2.0,1.0
18,2459695.8369792,99.0,99.0,g,18.4604140436625,2.0,1.0
19,2459696.7115972,19.8385113033896,0.0669920379596036,g,21.1153391184038,2.0,1.0
20,2459696.733206,19.9604616917141,0.0989901584889918,r,20.8133674318465,2.0,1.0
21,2459696.79,19.9865278540827,0.0974293676946783,r,20.856688933079,2.0,1.0
22,2459690.7489352,20.2569007873535,0.24822199344635,r,99.0,1.0,0.0
23,2459690.754838,20.2716007232666,0.26936599612236,g,99.0,2.0,0.0
24,2459690.7984838,20.1728992462158,0.314577996730804,g,99.0,1.0,0.0
25,2459690.7994213,20.1881999969482,0.235563993453979,g,99.0,2.0,0.0
26,2459690.8391898,20.2689990997314,0.230693995952606,r,99.0,2.0,0.0
27,2459693.7497917,19.9659976959229,0.171476095914841,g,99.0,2.0,0.0
28,2459693.8394676,20.1359996795654,0.278569996356964,g,99.0,2.0,0.0
29,2459694.7287153,20.2290992736816,0.335159003734589,i,99.0,2.0,0.0
30,2459694.7470602,20.0205821990967,0.199806734919548,r,99.0,2.0,0.0
31,2459694.7479977,20.1446762084961,0.199981093406677,r,99.0,1.0,0.0
32,2459694.8530787,19.9313697814941,0.216087594628334,g,99.0,1.0,0.0
33,2459694.7740394,19.9829006195068,0.234225004911423,r,99.0,2.0,0.0
34,2459694.8540162,20.0240001678467,0.219044998288155,g,99.0,2.0,0.0
35,2459694.8828819,19.8337001800537,0.251554012298584,g,99.0,2.0,0.0
36,2459695.7334144,19.4368991851807,0.226037994027138,r,99.0,2.0,0.0
37,2459696.7115972,19.8846836090088,0.163767367601395,g,99.0,2.0,0.0
38,2459696.7125579,19.9083023071289,0.165706023573875,g,99.0,1.0,0.0
39,2459696.733206,19.9522819519043,0.175842240452766,r,99.0,2.0,0.0
40,2459696.7535069,19.8510284423828,0.151191681623459,r,99.0,1.0,0.0
41,2459690.7489352,20.2569007873535,0.24822199344635,r,99.0,1.0,0.0
42,2459690.754838,20.2716007232666,0.26936599612236,g,99.0,2.0,0.0
43,2459690.7984838,20.1728992462158,0.314577996730804,g,99.0,1.0,0.0
44,2459690.7994213,20.1881999969482,0.235563993453979,g,99.0,2.0,0.0
45,2459693.7497917,19.9659976959229,0.171476095914841,g,99.0,2.0,0.0
46,2459693.8394676,20.1359996795654,0.278569996356964,g,99.0,2.0,0.0
