,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459693.7765509,20.395299911499,0.259822994470596,r,99.0,2,0.0
1,2459694.7801852,20.3570003509521,0.245223999023438,r,99.0,1,0.0
2,2459694.7844444,20.2329998016357,0.24897800385952,r,99.0,2,0.0
3,2459694.8276736,20.4953994750977,0.241571992635727,r,99.0,2,0.0
4,2459694.8924653,20.4356994628906,0.256235003471375,g,99.0,1,0.0
5,2459696.7674421,20.0426998138428,0.264111995697021,r,99.0,2,0.0
6,2459696.8508565,20.9008007049561,0.299046993255615,g,99.0,2,0.0
7,2459696.9503241,20.1806964874268,0.213718444108963,r,99.0,2,0.0
8,2459693.7765509,20.395299911499,0.259822994470596,r,99.0,2,0.0
9,2459694.7801852,20.3570003509521,0.245223999023438,r,99.0,1,0.0
10,2459694.8276736,20.4953994750977,0.241571992635727,r,99.0,2,0.0
11,2459694.8924653,20.4356994628906,0.256235003471375,g,99.0,1,0.0
12,2459696.7674421,20.0426998138428,0.264111995697021,r,99.0,2,0.0
13,2459696.8508565,20.9008007049561,0.299046993255615,g,99.0,2,0.0
14,2459696.9503241,20.1806964874268,0.213718444108963,r,99.0,2,0.0
15,2459693.7765509,20.395299911499,0.259822994470596,r,99.0,2,0.0
16,2459694.7801852,20.3570003509521,0.245223999023438,r,99.0,1,0.0
17,2459694.8276736,20.4953994750977,0.241571992635727,r,99.0,2,0.0
18,2459696.7674421,20.0426998138428,0.264111995697021,r,99.0,2,0.0
19,2459696.8508565,20.9008007049561,0.299046993255615,g,99.0,2,0.0
20,2459696.9503241,20.1806964874268,0.213718444108963,r,99.0,2,0.0
21,2459693.7765509,20.395299911499,0.259822994470596,r,99.0,2,0.0
22,2459694.7801852,20.3570003509521,0.245223999023438,r,99.0,1,0.0
23,2459696.7674421,20.0426998138428,0.264111995697021,r,99.0,2,0.0
24,2459696.8508565,20.9008007049561,0.299046993255615,g,99.0,2,0.0
25,2459696.9503241,20.1806964874268,0.213718444108963,r,99.0,2,0.0
26,2459693.7765509,20.395299911499,0.259822994470596,r,99.0,2,0.0
27,2459696.7674421,20.0426998138428,0.264111995697021,r,99.0,2,0.0
28,2459696.8508565,20.9008007049561,0.299046993255615,g,99.0,2,0.0
29,2459696.9503241,20.1806964874268,0.213718444108963,r,99.0,2,0.0
30,2459693.7765509,20.395299911499,0.259822994470596,r,99.0,2,0.0
31,2459696.8508565,20.9008007049561,0.299046993255615,g,99.0,2,0.0
32,2459696.9503241,20.1806964874268,0.213718444108963,r,99.0,2,0.0
33,2459693.7765509,20.395299911499,0.259822994470596,r,99.0,2,0.0
34,2459696.9503241,20.1806964874268,0.213718444108963,r,99.0,2,0.0
35,2459693.7765509,20.395299911499,0.259822994470596,r,99.0,2,0.0
