,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459689.9838426,20.108731171407,0.219933472629842,i,20.0948886316149,2.0,1.0
1,2459693.8846991,19.8345508085665,0.12806533354487,i,20.407857635273,2.0,1.0
2,2459696.8283796,20.2442191834035,0.246872105735282,i,20.1049249188844,2.0,1.0
3,2459693.9037847,19.5499954223633,0.151819914579391,r,99.0,1.0,0.0
4,2459693.9511921,19.4674015045166,0.139547511935234,g,99.0,1.0,0.0
5,2459695.9467245,19.4458999633789,0.303887993097305,r,99.0,1.0,0.0
6,2459697.9150463,20.2145004272461,0.327309012413025,r,99.0,1.0,0.0
7,2459697.950463,19.9189357757568,0.138540685176849,g,99.0,1.0,0.0
8,2459693.9511921,19.4674015045166,0.139547511935234,g,99.0,1.0,0.0
9,2459695.9467245,19.4458999633789,0.303887993097305,r,99.0,1.0,0.0
10,2459697.9150463,20.2145004272461,0.327309012413025,r,99.0,1.0,0.0
11,2459697.950463,19.9189357757568,0.138540685176849,g,99.0,1.0,0.0
12,2459693.9511921,19.4674015045166,0.139547511935234,g,99.0,1.0,0.0
13,2459697.9150463,20.2145004272461,0.327309012413025,r,99.0,1.0,0.0
14,2459697.950463,19.9189357757568,0.138540685176849,g,99.0,1.0,0.0
15,2459693.9511921,19.4674015045166,0.139547511935234,g,99.0,1.0,0.0
16,2459697.950463,19.9189357757568,0.138540685176849,g,99.0,1.0,0.0
17,2459693.9511921,19.4674015045166,0.139547511935234,g,99.0,1.0,0.0
